Date,10 Yr
2001-12-31,6.01
2001-12-28,6.0
2001-12-27,6.08
2001-12-24,5.88
2001-12-21,5.86
2001-12-20,5.81
2001-12-19,5.82
2001-12-18,5.89
2001-12-17,5.9
2001-12-14,5.84
2001-12-13,5.78
2001-12-12,5.85
2001-12-11,5.81
2001-12-10,5.83
2001-12-07,5.73
2001-12-06,5.76
2001-12-05,5.54
2001-12-04,5.61
2001-12-03,5.57
2001-11-30,5.61
2001-11-29,5.7
2001-11-28,5.67
2001-11-27,5.84
2001-11-26,5.82
2001-11-23,5.9
2001-11-22,5.88
2001-11-21,5.8
2001-11-20,5.68
2001-11-19,5.77
2001-11-16,5.63
2001-11-15,5.43
2001-11-14,5.25
2001-11-13,5.18
2001-11-12,5.25
2001-11-09,5.12
2001-11-08,4.99
2001-11-07,5.07
2001-11-06,5.11
2001-11-05,5.16
2001-11-02,5.11
2001-11-01,5.15
2001-10-31,5.21
2001-10-30,5.26
2001-10-29,5.3
2001-10-26,5.36
2001-10-25,5.38
2001-10-24,5.5
2001-10-23,5.57
2001-10-22,5.46
2001-10-19,5.43
2001-10-18,5.42
2001-10-17,5.41
2001-10-16,5.43
2001-10-15,5.47
2001-10-12,5.51
2001-10-11,5.43
2001-10-10,5.4
2001-10-09,5.35
2001-10-08,5.35
2001-10-05,5.38
2001-10-04,5.44
2001-10-03,5.42
2001-10-02,5.44
2001-10-01,5.52
2001-09-28,5.52
2001-09-27,5.56
2001-09-26,5.61
2001-09-25,5.64
2001-09-24,5.63
2001-09-21,5.58
2001-09-20,5.53
2001-09-19,5.56
2001-09-18,5.46
2001-09-17,5.44
2001-09-14,5.49
2001-09-13,5.48
2001-09-12,5.45
2001-09-11,5.61
2001-09-10,5.57
2001-09-07,5.73
2001-09-06,5.82
2001-09-05,5.8
2001-09-04,5.6
2001-09-03,5.55
2001-08-31,5.54
2001-08-30,5.51
2001-08-29,5.5
2001-08-28,5.6
2001-08-27,5.64
2001-08-24,5.68
2001-08-23,5.72
2001-08-22,5.68
2001-08-21,5.75
2001-08-20,5.71
2001-08-17,5.76
2001-08-16,5.82
2001-08-15,5.78
2001-08-14,5.73
2001-08-13,5.71
2001-08-10,5.69
2001-08-09,5.69
2001-08-08,6.0
2001-08-07,5.99
2001-08-03,6.03
2001-08-02,6.0
2001-08-01,6.01
2001-07-31,6.08
2001-07-30,6.07
2001-07-27,6.1
2001-07-26,6.13
2001-07-25,6.05
2001-07-24,5.97
2001-07-23,5.96
2001-07-20,5.89
2001-07-19,5.96
2001-07-18,6.03
2001-07-17,6.06
2001-07-16,6.1
2001-07-13,6.16
2001-07-12,6.2
2001-07-11,6.09
2001-07-10,6.16
2001-07-09,6.17
2001-07-06,6.19
2001-07-05,6.16
2001-07-04,6.21
2001-07-03,6.12
2001-07-02,6.1
2001-06-29,6.04
2001-06-28,5.96
2001-06-27,5.92
2001-06-26,5.79
2001-06-25,5.78
2001-06-22,5.84
2001-06-21,5.86
2001-06-20,5.83
2001-06-19,5.87
2001-06-18,5.83
2001-06-15,5.83
2001-06-14,5.82
2001-06-13,5.87
2001-06-12,5.98
2001-06-08,6.03
2001-06-07,5.95
2001-06-06,6.01
2001-06-05,5.93
2001-06-04,5.89
2001-06-01,5.96
2001-05-31,6.03
2001-05-30,6.09
2001-05-29,6.08
2001-05-28,6.08
2001-05-25,6.09
2001-05-24,6.03
2001-05-23,6.06
2001-05-22,6.07
2001-05-21,6.11
2001-05-18,6.05
2001-05-17,6.1
2001-05-16,6.11
2001-05-15,6.0
2001-05-14,5.95
2001-05-11,5.78
2001-05-10,5.66
2001-05-09,5.73
2001-05-08,5.72
2001-05-07,5.78
2001-05-04,5.77
2001-05-03,5.83
2001-05-02,5.83
2001-05-01,5.82
2001-04-30,5.78
2001-04-27,5.69
2001-04-26,5.82
2001-04-24,5.79
2001-04-23,5.84
2001-04-20,5.82
2001-04-19,5.65
2001-04-18,5.69
2001-04-17,5.65
2001-04-12,5.62
2001-04-11,5.56
2001-04-10,5.48
2001-04-09,5.42
2001-04-06,5.46
2001-04-05,5.35
2001-04-04,5.23
2001-04-03,5.33
2001-04-02,5.25
2001-03-30,5.28
2001-03-29,5.26
2001-03-28,5.32
2001-03-27,5.18
2001-03-26,5.18
2001-03-23,5.16
2001-03-22,5.09
2001-03-21,5.0
2001-03-20,5.01
2001-03-19,4.95
2001-03-16,4.99
2001-03-15,4.99
2001-03-14,5.0
2001-03-13,4.99
2001-03-12,5.07
2001-03-09,5.09
2001-03-08,5.16
2001-03-07,5.18
2001-03-06,5.26
2001-03-05,5.24
2001-03-02,5.27
2001-03-01,5.27
2001-02-28,5.23
2001-02-27,5.3
2001-02-26,5.3
2001-02-23,5.37
2001-02-22,5.34
2001-02-21,5.35
2001-02-20,5.36
2001-02-19,5.36
2001-02-16,5.43
2001-02-15,5.45
2001-02-14,5.3
2001-02-13,5.26
2001-02-12,5.23
2001-02-09,5.36
2001-02-08,5.33
2001-02-07,5.34
2001-02-06,5.3
2001-02-05,5.31
2001-02-02,5.28
2001-02-01,5.25
2001-01-31,5.33
2001-01-30,5.39
2001-01-29,5.37
2001-01-25,5.4
2001-01-24,5.4
2001-01-23,5.47
2001-01-22,5.45
2001-01-19,5.38
2001-01-18,5.38
2001-01-17,5.5
2001-01-16,5.46
2001-01-15,5.49
2001-01-12,5.39
2001-01-11,5.36
2001-01-10,5.34
2001-01-09,5.39
2001-01-08,5.4
2001-01-05,5.41
2001-01-04,5.46
2001-01-03,5.33
2001-01-02,5.47
