Date,10 Yr
12/31/1996,7.37
12/30/1996,7.37
12/27/1996,7.42
12/24/1996,7.42
12/23/1996,7.43
12/20/1996,7.36
12/19/1996,7.47
12/18/1996,7.43
12/17/1996,7.47
12/16/1996,7.31
12/13/1996,7.41
12/12/1996,7.37
12/11/1996,7.17
12/10/1996,7.35
12/09/1996,7.36
12/06/1996,7.47
12/05/1996,7.15
12/04/1996,7.09
12/03/1996,7.01
12/02/1996,7.05
11/29/1996,7.17
11/28/1996,7.13
11/27/1996,7.12
11/26/1996,7.09
11/25/1996,7.08
11/22/1996,7.04
11/21/1996,7.09
11/20/1996,7.08
11/19/1996,7.1
11/18/1996,7.15
11/15/1996,7.06
11/14/1996,7.11
11/13/1996,7.07
11/12/1996,7.15
11/11/1996,7.19
11/08/1996,7.21
11/07/1996,7.29
11/06/1996,7.17
11/05/1996,7.26
11/04/1996,7.34
11/01/1996,7.39
10/31/1996,7.38
10/30/1996,7.38
10/29/1996,7.49
10/28/1996,7.39
10/25/1996,7.43
10/24/1996,7.37
10/23/1996,7.52
10/22/1996,7.51
10/21/1996,7.52
10/18/1996,7.58
10/17/1996,7.66
10/16/1996,7.71
10/15/1996,7.57
10/14/1996,7.52
10/11/1996,7.59
10/10/1996,7.56
10/09/1996,7.64
10/08/1996,7.61
10/07/1996,7.53
10/04/1996,7.59
10/03/1996,7.63
10/02/1996,7.7
10/01/1996,7.78
09/30/1996,7.79
09/27/1996,7.77
09/26/1996,7.79
09/25/1996,7.83
09/24/1996,7.9
09/23/1996,7.93
09/20/1996,7.95
09/19/1996,7.91
09/18/1996,7.93
09/17/1996,7.89
09/16/1996,7.99
09/13/1996,8.08
09/12/1996,8.08
09/11/1996,8.12
09/10/1996,8.07
09/09/1996,8.11
09/06/1996,8.2
09/05/1996,8.21
09/04/1996,8.16
09/03/1996,8.27
09/02/1996,8.09
08/30/1996,8.07
08/29/1996,8.04
08/28/1996,8.08
08/27/1996,8.16
08/26/1996,8.06
08/23/1996,7.85
08/22/1996,7.87
08/21/1996,7.8
08/20/1996,7.91
08/19/1996,7.91
08/16/1996,8.07
08/15/1996,8.08
08/14/1996,8.11
08/13/1996,8.06
08/12/1996,8.05
08/09/1996,8.13
08/08/1996,8.08
08/07/1996,8.07
08/06/1996,8.09
08/05/1996,8.05
08/02/1996,8.13
08/01/1996,8.21
07/31/1996,8.3
07/30/1996,8.48
07/29/1996,8.48
07/26/1996,8.47
07/25/1996,8.53
07/24/1996,8.53
07/23/1996,8.47
07/22/1996,8.54
07/19/1996,8.51
07/18/1996,8.54
07/17/1996,8.56
07/16/1996,8.67
07/15/1996,8.65
07/12/1996,8.74
07/11/1996,8.76
07/10/1996,8.77
07/09/1996,8.84
07/08/1996,8.85
07/05/1996,8.7
07/04/1996,8.72
07/03/1996,8.79
07/02/1996,8.79
07/01/1996,8.79
06/28/1996,8.88
06/27/1996,8.9
06/26/1996,8.9
06/25/1996,8.9
06/24/1996,8.93
06/21/1996,8.96
06/20/1996,8.95
06/19/1996,8.92
06/18/1996,8.9
06/17/1996,8.9
06/14/1996,8.94
06/13/1996,9.06
06/12/1996,9.03
06/11/1996,9.01
06/07/1996,8.81
06/06/1996,8.89
06/05/1996,8.94
06/04/1996,8.92
06/03/1996,8.96
05/31/1996,8.85
05/30/1996,8.9
05/29/1996,8.92
05/28/1996,8.81
05/27/1996,8.83
05/24/1996,8.83
05/23/1996,8.74
05/22/1996,8.75
05/21/1996,8.76
05/20/1996,8.74
05/17/1996,8.81
05/16/1996,8.78
05/15/1996,8.71
05/14/1996,8.71
05/13/1996,8.8
05/10/1996,8.9
05/09/1996,8.9
05/08/1996,9.01
05/07/1996,8.95
05/06/1996,8.98
05/03/1996,8.95
05/02/1996,8.74
05/01/1996,8.77
04/30/1996,8.72
04/29/1996,8.7
04/26/1996,8.7
04/24/1996,8.71
04/23/1996,8.75
04/22/1996,8.87
04/19/1996,8.95
04/18/1996,9.02
04/17/1996,9.03
04/16/1996,9.0
04/15/1996,8.95
04/12/1996,9.03
04/11/1996,9.06
04/10/1996,9.0
04/09/1996,8.99
04/04/1996,8.77
04/03/1996,8.8
04/02/1996,8.74
04/01/1996,8.81
03/29/1996,8.88
03/28/1996,8.91
03/27/1996,8.84
03/26/1996,8.85
03/25/1996,8.93
03/22/1996,8.97
03/21/1996,8.91
03/20/1996,9.04
03/19/1996,8.91
03/18/1996,9.03
03/15/1996,8.95
03/14/1996,8.85
03/13/1996,8.85
03/12/1996,8.87
03/11/1996,9.13
03/08/1996,8.65
03/07/1996,8.69
03/06/1996,8.47
03/05/1996,8.39
03/04/1996,8.32
03/01/1996,8.53
02/29/1996,8.59
02/28/1996,8.72
02/27/1996,8.66
02/26/1996,8.6
02/23/1996,8.5
02/22/1996,8.53
02/21/1996,8.71
02/20/1996,8.29
02/19/1996,8.27
02/16/1996,8.09
02/15/1996,8.03
02/14/1996,7.99
02/13/1996,7.94
02/12/1996,8.04
02/09/1996,8.0
02/08/1996,8.03
02/07/1996,8.04
02/06/1996,8.1
02/05/1996,8.11
02/02/1996,8.01
02/01/1996,7.97
01/31/1996,8.01
01/30/1996,8.13
01/29/1996,8.07
01/25/1996,7.97
01/24/1996,8.08
01/23/1996,8.12
01/22/1996,8.08
01/19/1996,8.06
01/18/1996,8.14
01/17/1996,8.11
01/16/1996,8.2
01/15/1996,8.27
01/12/1996,8.24
01/11/1996,8.31
01/10/1996,8.1
01/09/1996,8.07
01/08/1996,8.09
01/05/1996,8.12
01/04/1996,8.06
01/03/1996,8.04
01/02/1996,8.09
