Date,10 Yr
2015-12-31,2.889
2015-12-30,2.803
2015-12-29,2.771
2015-12-28,2.781
2015-12-27,2.834
2015-12-26,2.834
2015-12-25,2.834
2015-12-24,2.828
2015-12-23,2.774
2015-12-22,2.733
2015-12-21,2.747
2015-12-20,2.752
2015-12-19,2.757
2015-12-18,2.767
2015-12-17,2.861
2015-12-16,2.868
2015-12-15,2.856
2015-12-14,2.823
2015-12-13,2.798
2015-12-12,2.807
2015-12-11,2.859
2015-12-10,2.861
2015-12-09,2.825
2015-12-08,2.851
2015-12-07,2.981
2015-12-06,2.937
2015-12-05,2.929
2015-12-04,2.952
2015-12-03,2.835
2015-12-02,2.821
2015-12-01,2.835
2015-11-30,2.855
2015-11-29,2.844
2015-11-28,2.841
2015-11-27,2.845
2015-11-26,2.835
2015-11-25,2.889
2015-11-24,2.939
2015-11-23,2.938
2015-11-22,2.949
2015-11-21,2.919
2015-11-20,2.899
2015-11-19,2.904
2015-11-18,2.913
2015-11-17,2.922
2015-11-16,2.898
2015-11-15,2.889
2015-11-14,2.926
2015-11-13,2.96
2015-11-12,2.966
2015-11-11,2.883
2015-11-10,2.916
2015-11-09,2.9
2015-11-08,2.891
2015-11-07,2.858
2015-11-06,2.789
2015-11-05,2.822
2015-11-04,2.733
2015-11-03,2.671
2015-11-02,2.631
2015-11-01,2.621
2015-10-31,2.619
2015-10-30,2.633
2015-10-29,2.575
2015-10-28,2.588
2015-10-27,2.636
2015-10-26,2.678
2015-10-25,2.673
2015-10-24,2.658
2015-10-23,2.611
2015-10-22,2.632
2015-10-21,2.675
2015-10-20,2.617
2015-10-19,2.606
2015-10-18,2.591
2015-10-17,2.613
2015-10-16,2.601
2015-10-15,2.586
2015-10-14,2.613
2015-10-13,2.677
2015-10-12,2.722
2015-10-11,2.724
2015-10-10,2.698
2015-10-09,2.686
2015-10-08,2.641
2015-10-07,2.633
2015-10-06,2.594
2015-10-05,2.541
2015-10-04,2.549
2015-10-03,2.589
2015-10-02,2.609
2015-10-01,2.614
2015-09-30,2.6
2015-09-29,2.596
2015-09-28,2.678
2015-09-27,2.705
2015-09-26,2.703
2015-09-25,2.71
2015-09-24,2.633
2015-09-23,2.643
2015-09-22,2.773
2015-09-21,2.724
2015-09-20,2.741
2015-09-19,2.736
2015-09-18,2.783
2015-09-17,2.859
2015-09-16,2.805
2015-09-15,2.705
2015-09-14,2.718
2015-09-13,2.733
2015-09-12,2.712
2015-09-11,2.741
2015-09-10,2.701
2015-09-09,2.76
2015-09-08,2.659
2015-09-07,2.664
2015-09-06,2.654
2015-09-05,2.613
2015-09-04,2.648
2015-09-03,2.713
2015-09-02,2.7
2015-09-01,2.624
2015-08-31,2.685
2015-08-30,2.716
2015-08-29,2.715
2015-08-28,2.721
2015-08-27,2.715
2015-08-26,2.62
2015-08-25,2.623
2015-08-24,2.523
2015-08-23,2.548
2015-08-22,2.555
2015-08-21,2.588
2015-08-20,2.656
2015-08-19,2.752
2015-08-18,2.763
2015-08-17,2.788
2015-08-16,2.784
2015-08-15,2.8
2015-08-14,2.786
2015-08-13,2.764
2015-08-12,2.695
2015-08-11,2.796
2015-08-10,2.784
2015-08-09,2.775
2015-08-08,2.764
2015-08-07,2.838
2015-08-06,2.828
2015-08-05,2.839
2015-08-04,2.71
2015-08-03,2.768
2015-08-02,2.748
2015-08-01,2.72
2015-07-31,2.765
2015-07-30,2.857
2015-07-29,2.809
2015-07-28,2.768
2015-07-27,2.763
2015-07-26,2.775
2015-07-25,2.813
2015-07-24,2.8
2015-07-23,2.857
2015-07-22,2.908
2015-07-21,2.935
2015-07-20,2.917
2015-07-19,2.932
2015-07-18,2.941
2015-07-17,2.965
2015-07-16,2.969
2015-07-15,3.051
2015-07-14,3.055
2015-07-13,3.011
2015-07-12,3.011
2015-07-11,3.021
2015-07-10,2.964
2015-07-09,2.783
2015-07-08,2.782
2015-07-07,2.883
2015-07-06,2.907
2015-07-05,2.929
2015-07-04,3.02
2015-07-03,3.089
2015-07-02,3.095
2015-07-01,3.037
2015-06-30,2.99
2015-06-29,2.938
2015-06-28,2.925
2015-06-27,3.163
2015-06-26,3.063
2015-06-25,3.064
2015-06-24,3.079
2015-06-23,3.069
2015-06-22,2.912
2015-06-21,2.897
2015-06-20,2.887
2015-06-19,2.876
2015-06-18,2.858
2015-06-17,2.978
2015-06-16,3.027
2015-06-15,3.001
2015-06-14,2.997
2015-06-13,3.039
2015-06-12,3.016
2015-06-11,3.16
2015-06-10,3.05
2015-06-09,2.983
2015-06-08,3.045
2015-06-07,3.078
2015-06-06,3.094
2015-06-05,3.056
2015-06-04,3.046
2015-06-03,2.911
2015-06-02,2.726
2015-06-01,2.708
2015-05-31,2.751
2015-05-30,2.733
2015-05-29,2.738
2015-05-28,2.779
2015-05-27,2.851
2015-05-26,2.912
2015-05-25,2.928
2015-05-24,2.926
2015-05-23,2.919
2015-05-22,2.936
2015-05-21,2.945
2015-05-20,2.998
2015-05-19,2.968
2015-05-18,2.874
2015-05-17,2.864
2015-05-16,2.85
2015-05-15,2.935
2015-05-14,3.022
2015-05-13,2.999
2015-05-12,2.999
2015-05-11,2.856
2015-05-10,2.818
2015-05-09,2.841
2015-05-08,2.862
2015-05-07,3.012
2015-05-06,2.959
2015-05-05,2.764
2015-05-04,2.704
2015-05-03,2.702
2015-05-02,2.698
2015-05-01,2.678
2015-04-30,2.662
2015-04-29,2.593
2015-04-28,2.577
2015-04-27,2.505
2015-04-26,2.5
2015-04-25,2.518
2015-04-24,2.561
2015-04-23,2.539
2015-04-22,2.452
2015-04-21,2.403
2015-04-20,2.427
2015-04-19,2.405
2015-04-18,2.367
2015-04-17,2.36
2015-04-16,2.381
2015-04-15,2.286
2015-04-14,2.321
2015-04-13,2.338
2015-04-12,2.372
2015-04-11,2.379
2015-04-10,2.376
2015-04-09,2.354
2015-04-08,2.337
2015-04-07,2.29
2015-04-06,2.331
2015-04-05,2.311
2015-04-04,2.311
2015-04-03,2.311
2015-04-02,2.306
2015-04-01,2.334
2015-03-31,2.331
2015-03-30,2.371
2015-03-29,2.386
2015-03-28,2.399
2015-03-27,2.42
2015-03-26,2.339
2015-03-25,2.327
2015-03-24,2.36
2015-03-23,2.395
2015-03-22,2.393
2015-03-21,2.376
2015-03-20,2.383
2015-03-19,2.354
2015-03-18,2.468
2015-03-17,2.462
2015-03-16,2.521
2015-03-15,2.54
2015-03-14,2.57
2015-03-13,2.56
2015-03-12,2.539
2015-03-11,2.59
2015-03-10,2.695
2015-03-09,2.752
2015-03-08,2.777
2015-03-07,2.765
2015-03-06,2.65
2015-03-05,2.634
2015-03-04,2.628
2015-03-03,2.523
2015-03-02,2.503
2015-03-01,2.487
