Date,10 Yr
2018-12-31,2.322
2018-12-30,2.336
2018-12-29,2.36
2018-12-28,2.362
2018-12-27,2.382
2018-12-26,2.382
2018-12-25,2.363
2018-12-24,2.365
2018-12-23,2.37
2018-12-22,2.378
2018-12-21,2.38
2018-12-20,2.35
2018-12-19,2.384
2018-12-18,2.414
2018-12-17,2.448
2018-12-16,2.452
2018-12-15,2.443
2018-12-14,2.453
2018-12-13,2.478
2018-12-12,2.451
2018-12-11,2.452
2018-12-10,2.43
2018-12-09,2.424
2018-12-08,2.437
2018-12-07,2.464
2018-12-06,2.48
2018-12-05,2.499
2018-12-04,2.536
2018-12-03,2.623
2018-12-02,2.619
2018-12-01,2.584
2018-11-30,2.59
2018-11-29,2.615
2018-11-28,2.623
2018-11-27,2.636
2018-11-26,2.643
2018-11-25,2.643
2018-11-24,2.652
2018-11-23,2.663
2018-11-22,2.663
2018-11-21,2.707
2018-11-20,2.702
2018-11-19,2.662
2018-11-18,2.66
2018-11-17,2.676
2018-11-16,2.681
2018-11-15,2.729
2018-11-14,2.714
2018-11-13,2.724
2018-11-12,2.744
2018-11-11,2.728
2018-11-10,2.741
2018-11-09,2.758
2018-11-08,2.764
2018-11-07,2.73
2018-11-06,2.732
2018-11-05,2.731
2018-11-04,2.747
2018-11-03,2.722
2018-11-02,2.662
2018-11-01,2.66
2018-10-31,2.616
2018-10-30,2.585
2018-10-29,2.575
2018-10-28,2.574
2018-10-27,2.577
2018-10-26,2.601
2018-10-25,2.626
2018-10-24,2.679
2018-10-23,2.688
2018-10-22,2.717
2018-10-21,2.717
2018-10-20,2.73
2018-10-19,2.688
2018-10-18,2.748
2018-10-17,2.718
2018-10-16,2.727
2018-10-15,2.708
2018-10-14,2.733
2018-10-13,2.743
2018-10-12,2.753
2018-10-11,2.729
2018-10-10,2.75
2018-10-09,2.785
2018-10-08,2.781
2018-10-07,2.764
2018-10-06,2.771
2018-10-05,2.719
2018-10-04,2.717
2018-10-03,2.631
2018-10-02,2.688
2018-10-01,2.665
2018-09-30,2.667
2018-09-28,2.671
2018-09-27,2.703
2018-09-26,2.749
2018-09-25,2.756
2018-09-24,2.711
2018-09-23,2.699
2018-09-21,2.702
2018-09-20,2.716
2018-09-19,2.705
2018-09-18,2.657
2018-09-17,2.624
2018-09-16,2.602
2018-09-14,2.603
2018-09-13,2.612
2018-09-12,2.591
2018-09-11,2.586
2018-09-10,2.588
2018-09-07,2.551
2018-09-06,2.565
2018-09-05,2.573
2018-09-04,2.507
2018-09-03,2.504
2018-09-02,2.518
2018-08-31,2.525
2018-08-30,2.565
2018-08-29,2.579
2018-08-28,2.576
2018-08-27,2.546
2018-08-26,2.534
2018-08-25,2.534
2018-08-24,2.547
2018-08-23,2.526
2018-08-22,2.542
2018-08-21,2.541
2018-08-20,2.541
2018-08-19,2.543
2018-08-18,2.556
2018-08-17,2.55
2018-08-16,2.561
2018-08-15,2.572
2018-08-14,2.588
2018-08-13,2.57
2018-08-12,2.588
2018-08-11,2.597
2018-08-10,2.625
2018-08-09,2.659
2018-08-08,2.679
2018-08-07,2.677
2018-08-06,2.688
2018-08-05,2.725
2018-08-04,2.736
2018-08-03,2.73
2018-08-02,2.735
2018-08-01,2.712
2018-07-31,2.672
2018-07-30,2.658
2018-07-29,2.644
2018-07-28,2.659
2018-07-27,2.661
2018-07-26,2.7
2018-07-25,2.689
2018-07-24,2.718
2018-07-23,2.672
2018-07-20,2.623
2018-07-19,2.669
2018-07-18,2.647
2018-07-17,2.667
2018-07-16,2.637
2018-07-15,2.63
2018-07-14,2.63
2018-07-13,2.641
2018-07-12,2.63
2018-07-11,2.62
2018-07-10,2.641
2018-07-09,2.607
2018-07-08,2.624
2018-07-06,2.618
2018-07-05,2.595
2018-07-04,2.588
2018-07-03,2.592
2018-07-02,2.605
2018-06-30,2.649
2018-06-29,2.652
2018-06-28,2.63
2018-06-27,2.643
2018-06-26,2.632
2018-06-25,2.636
2018-06-24,2.648
2018-06-22,2.656
2018-06-21,2.696
2018-06-20,2.645
2018-06-19,2.623
2018-06-18,2.668
2018-06-17,2.692
2018-06-15,2.693
2018-06-14,2.729
2018-06-13,2.791
2018-06-12,2.804
2018-06-11,2.789
2018-06-10,2.774
2018-06-08,2.807
2018-06-07,2.838
2018-06-06,2.763
2018-06-05,2.758
2018-06-04,2.733
2018-06-03,2.698
2018-06-01,2.695
2018-05-31,2.658
2018-05-30,2.637
2018-05-29,2.722
2018-05-28,2.745
2018-05-26,2.785
2018-05-25,2.791
2018-05-24,2.802
2018-05-23,2.847
2018-05-22,2.866
2018-05-21,2.878
2018-05-20,2.901
2018-05-18,2.93
2018-05-17,2.903
2018-05-16,2.885
2018-05-15,2.831
2018-05-14,2.777
2018-05-12,2.778
2018-05-11,2.79
2018-05-10,2.775
2018-05-09,2.791
2018-05-08,2.741
2018-05-07,2.756
2018-05-06,2.768
2018-05-04,2.791
2018-05-03,2.805
2018-05-02,2.796
2018-05-01,2.769
2018-04-30,2.785
2018-04-29,2.822
2018-04-27,2.833
2018-04-26,2.886
2018-04-25,2.842
2018-04-24,2.845
2018-04-23,2.87
2018-04-20,2.819
2018-04-19,2.798
2018-04-18,2.74
2018-04-17,2.766
2018-04-16,2.747
2018-04-15,2.734
2018-04-13,2.721
2018-04-12,2.681
2018-04-11,2.68
2018-04-10,2.695
2018-04-09,2.676
2018-04-08,2.653
2018-04-07,2.651
2018-04-06,2.672
2018-04-05,2.671
2018-04-04,2.637
2018-04-03,2.607
2018-03-30,2.599
2018-03-29,2.583
2018-03-28,2.6
2018-03-27,2.67
2018-03-26,2.663
2018-03-25,2.678
2018-03-24,2.668
2018-03-23,2.668
2018-03-22,2.687
2018-03-21,2.714
2018-03-20,2.7
2018-03-19,2.715
2018-03-18,2.712
2018-03-17,2.715
2018-03-16,2.692
2018-03-15,2.729
2018-03-14,2.76
2018-03-13,2.822
2018-03-12,2.823
2018-03-11,2.825
2018-03-09,2.808
2018-03-08,2.817
2018-03-07,2.814
2018-03-06,2.815
2018-03-05,2.728
2018-03-04,2.756
2018-03-02,2.72
2018-03-01,2.739
2018-02-28,2.785
2018-02-27,2.755
2018-02-26,2.754
2018-02-25,2.779
2018-02-24,2.793
2018-02-23,2.837
2018-02-22,2.855
2018-02-21,2.87
2018-02-20,2.894
2018-02-19,2.879
2018-02-18,2.869
2018-02-17,2.888
2018-02-16,2.904
2018-02-15,2.914
2018-02-14,2.833
2018-02-13,2.868
2018-02-12,2.898
2018-02-11,2.872
2018-02-10,2.852
2018-02-09,2.848
2018-02-08,2.853
2018-02-07,2.85
2018-02-06,2.801
2018-02-05,2.894
2018-02-04,2.878
2018-02-02,2.823
2018-02-01,2.821
2018-01-31,2.8
2018-01-30,2.86
2018-01-29,2.839
2018-01-28,2.844
2018-01-27,2.855
2018-01-26,2.838
2018-01-25,2.829
2018-01-24,2.799
2018-01-23,2.844
2018-01-22,2.849
2018-01-21,2.858
2018-01-20,2.862
2018-01-19,2.847
2018-01-18,2.798
2018-01-17,2.761
2018-01-16,2.763
2018-01-15,2.742
2018-01-14,2.751
2018-01-13,2.751
2018-01-12,2.722
2018-01-11,2.727
2018-01-10,2.703
2018-01-09,2.65
2018-01-08,2.619
2018-01-07,2.634
2018-01-06,2.643
2018-01-05,2.629
2018-01-04,2.664
2018-01-03,2.694
2018-01-02,2.662
2018-01-01,2.656
