Date,10 Yr
2014-12-31,2.83
2014-12-30,2.872
2014-12-29,2.946
2014-12-28,2.955
2014-12-27,2.955
2014-12-26,2.961
2014-12-25,2.955
2014-12-24,2.959
2014-12-23,2.91
2014-12-22,2.934
2014-12-21,2.951
2014-12-20,2.965
2014-12-19,2.993
2014-12-18,2.934
2014-12-17,2.852
2014-12-16,2.948
2014-12-15,2.95
2014-12-14,2.916
2014-12-13,2.958
2014-12-12,2.91
2014-12-11,2.868
2014-12-10,2.965
2014-12-09,3.032
2014-12-08,3.089
2014-12-07,3.064
2014-12-06,3.061
2014-12-05,3.054
2014-12-04,3.074
2014-12-03,3.094
2014-12-02,3.105
2014-12-01,3.016
2014-11-30,3.017
2014-11-29,3.037
2014-11-28,3.058
2014-11-27,3.108
2014-11-26,3.158
2014-11-25,3.208
2014-11-24,3.258
2014-11-23,3.264
2014-11-22,3.281
2014-11-21,3.292
2014-11-20,3.286
2014-11-19,3.287
2014-11-18,3.298
2014-11-17,3.273
2014-11-16,3.303
2014-11-15,3.323
2014-11-14,3.339
2014-11-13,3.374
2014-11-12,3.344
2014-11-11,3.323
2014-11-10,3.291
2014-11-09,3.313
2014-11-08,3.302
2014-11-07,3.363
2014-11-06,3.249
2014-11-05,3.292
2014-11-04,3.333
2014-11-03,3.271
2014-11-02,3.337
2014-11-01,3.311
2014-10-31,3.291
2014-10-30,3.331
2014-10-29,3.322
2014-10-28,3.257
2014-10-27,3.313
2014-10-26,3.342
2014-10-25,3.3
2014-10-24,3.281
2014-10-23,3.256
2014-10-22,3.256
2014-10-21,3.236
2014-10-20,3.331
2014-10-19,3.336
2014-10-18,3.331
2014-10-17,3.239
2014-10-16,3.198
2014-10-15,3.294
2014-10-14,3.334
2014-10-13,3.278
2014-10-12,3.287
2014-10-11,3.318
2014-10-10,3.342
2014-10-09,3.315
2014-10-08,3.366
2014-10-07,3.429
2014-10-06,3.449
2014-10-05,3.454
2014-10-04,3.455
2014-10-03,3.474
2014-10-02,3.422
2014-10-01,3.479
2014-09-30,3.481
2014-09-29,3.498
2014-09-28,3.525
2014-09-27,3.562
2014-09-26,3.503
2014-09-25,3.58
2014-09-24,3.582
2014-09-23,3.575
2014-09-22,3.662
2014-09-21,3.679
2014-09-20,3.728
2014-09-19,3.739
2014-09-18,3.723
2014-09-17,3.649
2014-09-16,3.629
2014-09-15,3.654
2014-09-14,3.663
2014-09-13,3.684
2014-09-12,3.651
2014-09-11,3.614
2014-09-10,3.576
2014-09-09,3.555
2014-09-08,3.447
2014-09-07,3.458
2014-09-06,3.463
2014-09-05,3.48
2014-09-04,3.448
2014-09-03,3.445
2014-09-02,3.347
2014-09-01,3.329
2014-08-31,3.298
2014-08-30,3.293
2014-08-29,3.3
2014-08-28,3.302
2014-08-27,3.345
2014-08-26,3.354
2014-08-25,3.449
2014-08-24,3.475
2014-08-23,3.475
2014-08-22,3.484
2014-08-21,3.51
2014-08-20,3.445
2014-08-19,3.42
2014-08-18,3.344
2014-08-17,3.359
2014-08-16,3.388
2014-08-15,3.399
2014-08-14,3.417
2014-08-13,3.466
2014-08-12,3.437
2014-08-11,3.411
2014-08-10,3.401
2014-08-08,3.324
2014-08-07,3.432
2014-08-06,3.51
2014-08-05,3.478
2014-08-04,3.491
2014-08-03,3.461
2014-08-02,3.515
2014-08-01,3.541
2014-07-31,3.522
2014-07-30,3.429
2014-07-29,3.475
2014-07-28,3.425
2014-07-27,3.43
2014-07-26,3.438
2014-07-25,3.455
2014-07-24,3.452
2014-07-23,3.405
2014-07-22,3.368
2014-07-21,3.4
2014-07-20,3.425
2014-07-19,3.378
2014-07-18,3.371
2014-07-17,3.411
2014-07-16,3.422
2014-07-15,3.486
2014-07-14,3.457
2014-07-13,3.444
2014-07-12,3.418
2014-07-11,3.428
2014-07-10,3.486
2014-07-09,3.545
2014-07-08,3.585
2014-07-07,3.609
2014-07-06,3.604
2014-07-05,3.588
2014-07-04,3.591
2014-07-03,3.555
2014-07-02,3.577
2014-07-01,3.555
2014-06-30,3.546
2014-06-29,3.55
2014-06-28,3.54
2014-06-27,3.535
2014-06-26,3.594
2014-06-25,3.583
2014-06-24,3.658
2014-06-23,3.703
2014-06-22,3.686
2014-06-21,3.675
2014-06-20,3.683
2014-06-19,3.656
2014-06-18,3.748
2014-06-17,3.705
2014-06-16,3.756
2014-06-15,3.773
2014-06-14,3.783
2014-06-13,3.795
2014-06-12,3.837
2014-06-11,3.857
2014-06-10,3.801
2014-06-09,3.811
2014-06-08,3.791
2014-06-07,3.773
2014-06-06,3.791
2014-06-05,3.794
2014-06-04,3.796
2014-06-03,3.726
2014-06-02,3.693
2014-06-01,3.698
2014-05-31,3.655
2014-05-30,3.682
2014-05-29,3.633
2014-05-28,3.723
2014-05-27,3.758
2014-05-26,3.766
2014-05-25,3.779
2014-05-24,3.78
2014-05-23,3.813
2014-05-22,3.743
2014-05-21,3.678
2014-05-20,3.721
2014-05-19,3.726
2014-05-18,3.735
2014-05-17,3.715
2014-05-16,3.723
2014-05-15,3.761
2014-05-14,3.827
2014-05-13,3.858
2014-05-12,3.842
2014-05-11,3.844
2014-05-10,3.823
2014-05-09,3.826
2014-05-08,3.847
2014-05-07,3.843
2014-05-06,3.868
2014-05-05,3.863
2014-05-04,3.908
2014-05-02,3.913
2014-05-01,3.945
2014-04-30,3.965
2014-04-29,3.937
2014-04-28,3.94
2014-04-27,3.934
2014-04-25,3.936
2014-04-24,3.971
2014-04-23,3.961
2014-04-22,4.032
2014-04-21,4.037
2014-04-20,4.001
2014-04-17,3.955
2014-04-16,3.961
2014-04-15,4.007
2014-04-14,3.981
2014-04-13,3.988
2014-04-11,4.022
2014-04-10,4.084
2014-04-09,4.068
2014-04-08,4.078
2014-04-07,4.089
2014-04-06,4.117
2014-04-04,4.164
2014-04-03,4.208
2014-04-02,4.191
2014-04-01,4.148
2014-03-31,4.098
2014-03-30,4.1
2014-03-28,4.082
2014-03-27,4.087
2014-03-26,4.116
2014-03-25,4.136
2014-03-24,4.173
2014-03-23,4.173
2014-03-21,4.156
2014-03-20,4.141
2014-03-19,4.066
2014-03-18,4.099
2014-03-17,4.031
2014-03-16,4.032
2014-03-14,4.067
2014-03-13,4.207
2014-03-12,4.197
2014-03-11,4.201
2014-03-10,4.216
2014-03-09,4.224
2014-03-07,4.183
2014-03-06,4.106
2014-03-05,4.061
2014-03-04,3.998
2014-03-03,3.986
2014-03-02,3.984
2014-02-28,4.033
2014-02-27,4.063
2014-02-26,4.134
2014-02-25,4.176
2014-02-24,4.186
2014-02-23,4.203
2014-02-21,4.208
2014-02-20,4.154
2014-02-19,4.154
2014-02-18,4.181
2014-02-17,4.166
2014-02-16,4.166
2014-02-14,4.144
2014-02-13,4.181
2014-02-12,4.226
2014-02-11,4.189
2014-02-10,4.145
2014-02-09,4.165
2014-02-07,4.134
2014-02-06,4.094
2014-02-05,4.014
2014-02-04,4.0
2014-02-03,4.009
2014-02-02,4.016
2014-01-31,4.036
2014-01-30,4.009
2014-01-29,4.12
2014-01-28,4.061
2014-01-27,4.046
2014-01-26,4.028
2014-01-24,4.104
2014-01-23,4.185
2014-01-22,4.188
2014-01-21,4.106
2014-01-20,4.084
2014-01-19,4.084
2014-01-17,4.113
2014-01-16,4.193
2014-01-15,4.254
2014-01-14,4.201
2014-01-13,4.233
2014-01-12,4.218
2014-01-10,4.274
2014-01-09,4.343
2014-01-08,4.311
2014-01-07,4.334
2014-01-06,4.391
2014-01-05,4.404
2014-01-03,4.344
2014-01-02,4.331
2014-01-01,4.289
