Date,10 Yr
2000-12-29,5.46
2000-12-28,5.47
2000-12-27,5.42
2000-12-22,5.41
2000-12-21,5.43
2000-12-20,5.51
2000-12-19,5.49
2000-12-18,5.45
2000-12-15,5.46
2000-12-14,5.49
2000-12-13,5.55
2000-12-12,5.6
2000-12-11,5.61
2000-12-08,5.56
2000-12-07,5.55
2000-12-06,5.69
2000-12-05,5.71
2000-12-04,5.75
2000-12-01,5.75
2000-11-30,5.77
2000-11-29,5.85
2000-11-28,5.9
2000-11-27,5.93
2000-11-24,5.89
2000-11-23,5.86
2000-11-22,5.9
2000-11-21,5.89
2000-11-20,5.91
2000-11-17,5.87
2000-11-16,5.97
2000-11-15,6.01
2000-11-14,5.99
2000-11-13,6.0
2000-11-10,6.08
2000-11-09,6.11
2000-11-08,6.14
2000-11-07,6.17
2000-11-06,6.17
2000-11-03,6.13
2000-11-02,6.14
2000-11-01,6.15
2000-10-31,6.18
2000-10-30,6.15
2000-10-27,6.12
2000-10-26,6.11
2000-10-25,5.97
2000-10-24,5.97
2000-10-20,6.08
2000-10-19,6.11
2000-10-18,6.1
2000-10-17,6.13
2000-10-16,6.14
2000-10-13,6.07
2000-10-12,6.13
2000-10-11,6.14
2000-10-10,6.14
2000-10-09,6.07
2000-10-06,6.17
2000-10-05,6.2
2000-10-04,6.18
2000-10-03,6.13
2000-10-02,6.11
2000-09-29,6.2
2000-09-28,6.19
2000-09-27,6.23
2000-09-26,6.22
2000-09-25,6.23
2000-09-22,6.17
2000-09-21,6.26
2000-09-20,6.23
2000-09-19,6.27
2000-09-18,6.21
2000-09-15,6.07
2000-09-14,6.05
2000-09-13,6.06
2000-09-12,6.11
2000-09-11,6.08
2000-09-08,6.1
2000-09-07,6.09
2000-09-06,6.04
2000-09-05,6.01
2000-09-04,5.97
2000-09-01,6.12
2000-08-31,6.28
2000-08-30,6.32
2000-08-29,6.27
2000-08-28,6.23
2000-08-25,6.23
2000-08-24,6.22
2000-08-23,6.27
2000-08-22,6.24
2000-08-21,6.24
2000-08-18,6.29
2000-08-17,6.3
2000-08-16,6.26
2000-08-15,6.26
2000-08-14,6.25
2000-08-11,6.17
2000-08-10,6.17
2000-08-09,6.11
2000-08-08,6.14
2000-08-04,6.19
2000-08-03,6.2
2000-08-02,6.24
2000-08-01,6.26
2000-07-31,6.25
2000-07-28,6.2
2000-07-27,6.17
2000-07-26,6.15
2000-07-25,6.14
2000-07-24,6.09
2000-07-21,6.12
2000-07-20,6.27
2000-07-19,6.27
2000-07-18,6.23
2000-07-17,6.19
2000-07-14,6.11
2000-07-13,6.2
2000-07-12,6.13
2000-07-11,6.13
2000-07-10,6.07
2000-07-07,6.17
2000-07-06,6.13
2000-07-05,6.09
2000-07-04,6.1
2000-07-03,6.19
2000-06-30,6.16
2000-06-29,6.23
2000-06-28,6.25
2000-06-27,6.24
2000-06-26,6.28
2000-06-23,6.24
2000-06-22,6.29
2000-06-21,6.25
2000-06-20,6.19
2000-06-19,6.11
2000-06-16,6.16
2000-06-15,6.16
2000-06-14,6.16
2000-06-13,6.04
2000-06-09,6.09
2000-06-08,6.18
2000-06-07,6.12
2000-06-06,6.12
2000-06-05,6.14
2000-06-02,6.08
2000-06-01,6.13
2000-05-31,6.27
2000-05-30,6.29
2000-05-29,6.23
2000-05-26,6.33
2000-05-25,6.46
2000-05-24,6.43
2000-05-23,6.48
2000-05-22,6.53
2000-05-19,6.61
2000-05-18,6.54
2000-05-17,6.45
2000-05-16,6.43
2000-05-15,6.52
2000-05-12,6.45
2000-05-11,6.41
2000-05-10,6.54
2000-05-09,6.55
2000-05-08,6.56
2000-05-05,6.56
2000-05-04,6.59
2000-05-03,6.53
2000-05-02,6.49
2000-05-01,6.46
2000-04-28,6.39
2000-04-27,6.39
2000-04-26,6.38
2000-04-20,6.29
2000-04-19,6.25
2000-04-18,6.17
2000-04-17,6.09
2000-04-14,6.18
2000-04-13,6.25
2000-04-12,6.22
2000-04-11,6.13
2000-04-10,6.21
2000-04-07,6.33
2000-04-06,6.27
2000-04-05,6.28
2000-04-04,6.32
2000-04-03,6.35
2000-03-31,6.36
2000-03-30,6.55
2000-03-29,6.53
2000-03-28,6.51
2000-03-27,6.56
2000-03-24,6.43
2000-03-23,6.41
2000-03-22,6.37
2000-03-21,6.43
2000-03-20,6.49
2000-03-17,6.52
2000-03-16,6.55
2000-03-15,6.54
2000-03-14,6.7
2000-03-13,6.78
2000-03-10,6.71
2000-03-09,6.76
2000-03-08,6.69
2000-03-07,6.75
2000-03-06,6.72
2000-03-03,6.65
2000-03-02,6.58
2000-03-01,6.53
2000-02-29,6.65
2000-02-28,6.62
2000-02-25,6.53
2000-02-24,6.72
2000-02-23,6.75
2000-02-22,6.78
2000-02-21,6.8
2000-02-18,7.05
2000-02-17,7.04
2000-02-16,7.07
2000-02-15,7.04
2000-02-14,7.11
2000-02-11,7.11
2000-02-10,7.04
2000-02-09,7.08
2000-02-08,7.15
2000-02-07,7.11
2000-02-04,7.01
2000-02-03,7.1
2000-02-02,7.18
2000-02-01,7.17
2000-01-31,7.16
2000-01-28,7.17
2000-01-27,7.16
2000-01-25,7.21
2000-01-24,7.27
2000-01-21,7.27
2000-01-20,7.22
2000-01-19,7.26
2000-01-18,7.19
2000-01-17,7.23
2000-01-14,7.19
2000-01-13,7.2
2000-01-12,7.21
2000-01-11,7.17
2000-01-10,7.11
2000-01-07,7.1
2000-01-06,7.12
2000-01-05,7.01
2000-01-04,7.13
