Date,10 Yr
12/29/1995,8.18
12/28/1995,8.22
12/27/1995,8.22
12/22/1995,8.28
12/21/1995,8.33
12/20/1995,8.3
12/19/1995,8.45
12/18/1995,8.41
12/15/1995,8.34
12/14/1995,8.21
12/13/1995,8.29
12/12/1995,8.31
12/11/1995,8.3
12/08/1995,8.27
12/07/1995,8.2
12/06/1995,8.16
12/05/1995,8.15
12/04/1995,8.09
12/01/1995,8.13
11/30/1995,8.17
11/29/1995,8.23
11/28/1995,8.28
11/27/1995,8.21
11/24/1995,8.33
11/23/1995,8.36
11/22/1995,8.41
11/21/1995,8.41
11/20/1995,8.41
11/17/1995,8.48
11/16/1995,8.54
11/15/1995,8.6
11/14/1995,8.6
11/13/1995,8.67
11/10/1995,8.59
11/09/1995,8.55
11/08/1995,8.65
11/07/1995,8.73
11/06/1995,8.67
11/03/1995,8.58
11/02/1995,8.68
11/01/1995,8.74
10/31/1995,8.78
10/30/1995,8.68
10/27/1995,8.64
10/26/1995,8.5
10/25/1995,8.66
10/24/1995,8.52
10/23/1995,8.52
10/20/1995,8.4
10/19/1995,8.37
10/18/1995,8.33
10/17/1995,8.28
10/16/1995,8.32
10/13/1995,8.43
10/12/1995,8.55
10/11/1995,8.58
10/10/1995,8.53
10/09/1995,8.48
10/06/1995,8.5
10/05/1995,8.51
10/04/1995,8.55
10/03/1995,8.56
10/02/1995,8.5
09/29/1995,8.57
09/28/1995,8.62
09/27/1995,8.64
09/26/1995,8.68
09/25/1995,8.72
09/22/1995,8.68
09/21/1995,8.6
09/20/1995,8.62
09/19/1995,8.63
09/18/1995,8.56
09/15/1995,8.53
09/14/1995,8.6
09/13/1995,8.58
09/12/1995,8.77
09/11/1995,8.76
09/08/1995,8.73
09/07/1995,8.81
09/06/1995,8.73
09/05/1995,8.84
09/04/1995,8.85
09/01/1995,8.89
08/31/1995,8.98
08/30/1995,9.0
08/29/1995,9.12
08/28/1995,9.17
08/25/1995,9.17
08/24/1995,9.25
08/23/1995,9.14
08/22/1995,9.08
08/21/1995,9.03
08/18/1995,9.06
08/17/1995,9.07
08/16/1995,9.05
08/15/1995,9.06
08/14/1995,9.02
08/11/1995,8.97
08/10/1995,9.05
08/09/1995,9.19
08/08/1995,9.14
08/07/1995,9.22
08/04/1995,9.35
08/03/1995,9.23
08/02/1995,9.22
08/01/1995,9.29
07/31/1995,9.42
07/28/1995,9.31
07/27/1995,9.4
07/26/1995,9.3
07/25/1995,9.19
07/24/1995,9.28
07/21/1995,9.18
07/20/1995,9.31
07/19/1995,9.17
07/18/1995,9.07
07/17/1995,8.97
07/14/1995,8.79
07/13/1995,8.8
07/12/1995,8.81
07/11/1995,8.8
07/10/1995,8.75
07/07/1995,8.74
07/06/1995,9.05
07/05/1995,9.07
07/04/1995,9.13
07/03/1995,9.18
06/30/1995,9.21
06/29/1995,8.85
06/28/1995,8.86
06/27/1995,8.8
06/26/1995,8.78
06/23/1995,8.67
06/22/1995,8.76
06/21/1995,8.78
06/20/1995,8.91
06/19/1995,8.95
06/16/1995,8.94
06/15/1995,8.88
06/14/1995,8.83
06/13/1995,8.94
06/09/1995,8.94
06/08/1995,8.89
06/07/1995,8.71
06/06/1995,8.63
06/05/1995,8.61
06/02/1995,9.0
06/01/1995,9.04
05/31/1995,8.94
05/30/1995,8.83
05/29/1995,8.82
05/26/1995,8.81
05/25/1995,8.74
05/24/1995,8.94
05/23/1995,9.06
05/22/1995,9.1
05/19/1995,9.09
05/18/1995,8.99
05/17/1995,8.86
05/16/1995,9.01
05/15/1995,9.01
05/12/1995,9.1
05/11/1995,9.05
05/10/1995,9.02
05/09/1995,9.05
05/08/1995,9.1
05/05/1995,9.38
05/04/1995,9.47
05/03/1995,9.68
05/02/1995,9.7
05/01/1995,9.69
04/28/1995,9.69
04/27/1995,9.69
04/26/1995,9.84
04/24/1995,9.86
04/21/1995,9.85
04/20/1995,9.76
04/19/1995,9.79
04/18/1995,9.69
04/13/1995,9.77
04/12/1995,9.78
04/11/1995,9.8
04/10/1995,9.9
04/07/1995,9.83
04/06/1995,9.79
04/05/1995,9.84
04/04/1995,9.8
04/03/1995,9.9
03/31/1995,9.83
03/30/1995,10.13
03/29/1995,10.19
03/28/1995,10.07
03/27/1995,10.07
03/24/1995,10.2
03/23/1995,10.23
03/22/1995,10.3
03/21/1995,10.18
03/20/1995,10.22
03/17/1995,10.17
03/16/1995,10.0
03/15/1995,9.94
03/14/1995,10.08
03/13/1995,10.12
03/10/1995,10.25
03/09/1995,10.23
03/08/1995,10.36
03/07/1995,10.31
03/06/1995,10.36
03/03/1995,10.08
03/02/1995,9.95
03/01/1995,9.9
02/28/1995,9.85
02/27/1995,10.06
02/24/1995,10.15
02/23/1995,10.17
02/22/1995,10.2
02/21/1995,10.14
02/20/1995,10.21
02/17/1995,10.19
02/16/1995,10.12
02/15/1995,10.15
02/14/1995,10.27
02/13/1995,10.23
02/10/1995,10.15
02/09/1995,10.14
02/08/1995,10.13
02/07/1995,10.17
02/06/1995,10.02
02/03/1995,10.16
02/02/1995,10.22
02/01/1995,10.2
01/31/1995,10.4
01/30/1995,10.18
01/27/1995,10.23
01/25/1995,10.38
01/24/1995,10.5
01/23/1995,10.56
01/20/1995,10.41
01/19/1995,10.33
01/18/1995,10.28
01/17/1995,10.28
01/16/1995,10.29
01/13/1995,10.41
01/12/1995,10.3
01/11/1995,10.37
01/10/1995,10.42
01/09/1995,10.43
01/06/1995,10.36
01/05/1995,10.32
01/04/1995,10.18
01/03/1995,10.06
