Date,10 Yr
12/31/2013,4.241
12/30/2013,4.271
12/29/2013,4.289
12/27/2013,4.281
12/26/2013,4.291
12/25/2013,4.25
12/24/2013,4.244
12/23/2013,4.263
12/22/2013,4.273
12/20/2013,4.284
12/19/2013,4.273
12/18/2013,4.24
12/17/2013,4.241
12/16/2013,4.279
12/15/2013,4.321
12/13/2013,4.339
12/12/2013,4.33
12/11/2013,4.361
12/10/2013,4.393
12/09/2013,4.376
12/08/2013,4.431
12/06/2013,4.444
12/05/2013,4.404
12/04/2013,4.306
12/03/2013,4.321
12/02/2013,4.296
12/01/2013,4.276
11/29/2013,4.239
11/28/2013,4.26
11/27/2013,4.201
11/26/2013,4.241
11/25/2013,4.291
11/24/2013,4.291
11/22/2013,4.359
11/21/2013,4.321
11/20/2013,4.28
11/19/2013,4.205
11/18/2013,4.211
11/17/2013,4.216
11/16/2013,4.185
11/15/2013,4.211
11/14/2013,4.214
11/13/2013,4.263
11/12/2013,4.283
11/11/2013,4.206
11/10/2013,4.236
11/08/2013,4.136
11/07/2013,4.169
11/06/2013,4.216
11/05/2013,4.155
11/04/2013,4.139
11/03/2013,4.138
11/02/2013,4.128
11/01/2013,4.076
10/31/2013,4.044
10/30/2013,3.974
10/29/2013,3.983
10/28/2013,4.001
10/27/2013,4.004
10/26/2013,3.993
10/25/2013,3.988
10/24/2013,3.981
10/23/2013,4.014
10/22/2013,4.119
10/21/2013,4.089
10/20/2013,4.089
10/18/2013,4.132
10/17/2013,4.153
10/16/2013,4.285
10/15/2013,4.204
10/14/2013,4.133
10/13/2013,4.111
10/12/2013,4.14
10/11/2013,4.156
10/10/2013,4.145
10/09/2013,4.103
10/08/2013,4.078
10/07/2013,4.096
10/06/2013,4.101
10/05/2013,4.095
10/04/2013,4.066
10/03/2013,3.936
10/02/2013,3.974
10/01/2013,3.929
09/30/2013,3.896
09/29/2013,3.874
09/27/2013,3.976
09/26/2013,3.959
09/25/2013,3.979
09/24/2013,3.993
09/23/2013,4.061
09/22/2013,4.059
09/20/2013,4.046
09/19/2013,3.969
09/18/2013,4.158
09/17/2013,4.158
09/16/2013,4.07
09/15/2013,4.078
09/13/2013,4.11
09/12/2013,4.058
09/11/2013,4.201
09/10/2013,4.125
09/09/2013,4.102
09/08/2013,4.111
09/07/2013,4.085
09/06/2013,4.161
09/05/2013,4.064
09/04/2013,4.046
09/03/2013,3.962
09/02/2013,3.961
09/01/2013,3.946
08/31/2013,3.92
08/30/2013,3.913
08/29/2013,3.923
08/28/2013,3.894
08/27/2013,3.968
08/26/2013,4.013
08/25/2013,3.994
08/23/2013,4.058
08/22/2013,4.119
08/21/2013,3.97
08/20/2013,4.001
08/19/2013,4.041
08/18/2013,4.029
08/17/2013,3.998
08/16/2013,3.986
08/15/2013,3.931
08/14/2013,3.854
08/13/2013,3.762
08/12/2013,3.698
08/11/2013,3.693
08/10/2013,3.673
08/09/2013,3.724
08/08/2013,3.704
08/07/2013,3.712
08/06/2013,3.676
08/05/2013,3.602
08/04/2013,3.653
08/02/2013,3.775
08/01/2013,3.682
07/31/2013,3.734
07/30/2013,3.717
07/29/2013,3.76
07/28/2013,3.748
07/26/2013,3.796
07/25/2013,3.779
07/24/2013,3.696
07/23/2013,3.667
07/22/2013,3.66
07/21/2013,3.674
07/19/2013,3.687
07/18/2013,3.675
07/17/2013,3.767
07/16/2013,3.733
07/15/2013,3.729
07/14/2013,3.755
07/12/2013,3.753
07/11/2013,3.757
07/10/2013,3.866
07/09/2013,3.884
07/08/2013,3.929
07/07/2013,3.991
07/05/2013,3.841
07/04/2013,3.799
07/03/2013,3.765
07/02/2013,3.773
07/01/2013,3.805
06/30/2013,3.932
06/29/2013,3.769
06/28/2013,3.77
06/27/2013,3.795
06/26/2013,3.915
06/25/2013,3.839
06/24/2013,4.004
06/23/2013,3.943
06/21/2013,3.734
06/20/2013,3.65
06/19/2013,3.434
06/18/2013,3.415
06/17/2013,3.41
06/16/2013,3.384
06/15/2013,3.36
06/14/2013,3.406
06/13/2013,3.453
06/12/2013,3.489
06/11/2013,3.41
06/10/2013,3.4
06/08/2013,3.352
06/07/2013,3.26
06/06/2013,3.344
06/05/2013,3.438
06/04/2013,3.42
06/03/2013,3.441
06/02/2013,3.45
06/01/2013,3.39
05/31/2013,3.376
05/30/2013,3.436
05/29/2013,3.467
05/28/2013,3.327
05/27/2013,3.289
05/26/2013,3.323
05/25/2013,3.332
05/24/2013,3.318
05/23/2013,3.365
05/22/2013,3.267
05/21/2013,3.26
05/20/2013,3.245
05/19/2013,3.235
05/18/2013,3.227
05/17/2013,3.174
05/16/2013,3.271
05/15/2013,3.29
05/14/2013,3.237
05/13/2013,3.27
05/12/2013,3.299
05/11/2013,3.287
05/10/2013,3.24
05/09/2013,3.175
05/08/2013,3.119
05/07/2013,3.064
05/06/2013,3.126
05/05/2013,3.118
05/04/2013,3.14
05/03/2013,3.05
05/02/2013,3.035
05/01/2013,3.1
04/30/2013,3.092
04/29/2013,3.086
04/28/2013,3.116
04/26/2013,3.171
04/25/2013,3.201
04/24/2013,3.13
04/23/2013,3.147
04/22/2013,3.218
04/21/2013,3.213
04/20/2013,3.21
04/19/2013,3.2
04/18/2013,3.184
04/17/2013,3.255
04/16/2013,3.244
04/15/2013,3.243
04/14/2013,3.263
04/13/2013,3.245
04/12/2013,3.309
04/11/2013,3.332
04/10/2013,3.263
04/09/2013,3.253
04/08/2013,3.231
04/07/2013,3.205
04/06/2013,3.255
04/05/2013,3.318
04/04/2013,3.408
04/03/2013,3.45
04/02/2013,3.43
04/01/2013,3.415
03/28/2013,3.425
03/27/2013,3.529
03/26/2013,3.585
03/25/2013,3.64
03/24/2013,3.616
03/23/2013,3.578
03/22/2013,3.572
03/21/2013,3.589
03/20/2013,3.511
03/19/2013,3.571
03/18/2013,3.489
03/17/2013,3.507
03/16/2013,3.59
03/15/2013,3.632
03/14/2013,3.689
03/13/2013,3.578
03/12/2013,3.644
03/11/2013,3.626
03/10/2013,3.598
03/09/2013,3.6
03/08/2013,3.56
03/07/2013,3.448
03/06/2013,3.427
03/05/2013,3.315
03/04/2013,3.287
03/03/2013,3.31
03/02/2013,3.318
03/01/2013,3.35
02/28/2013,3.368
02/27/2013,3.352
02/26/2013,3.408
02/25/2013,3.507
02/24/2013,3.523
02/23/2013,3.52
02/22/2013,3.533
02/21/2013,3.537
02/20/2013,3.608
02/19/2013,3.588
02/18/2013,3.588
02/17/2013,3.568
02/16/2013,3.55
02/15/2013,3.557
02/14/2013,3.572
02/13/2013,3.523
02/12/2013,3.485
02/11/2013,3.455
02/10/2013,3.485
02/09/2013,3.47
02/08/2013,3.475
02/07/2013,3.473
02/06/2013,3.537
02/05/2013,3.515
02/04/2013,3.595
02/03/2013,3.595
02/02/2013,3.537
02/01/2013,3.51
01/31/2013,3.455
01/30/2013,3.525
01/29/2013,3.507
01/28/2013,3.438
01/27/2013,3.425
01/26/2013,3.425
01/25/2013,3.328
01/24/2013,3.293
01/23/2013,3.322
01/22/2013,3.388
01/21/2013,3.378
01/20/2013,3.372
01/19/2013,3.355
01/18/2013,3.415
01/17/2013,3.313
01/16/2013,3.398
01/15/2013,3.455
01/14/2013,3.47
01/13/2013,3.445
01/12/2013,3.457
01/11/2013,3.485
01/10/2013,3.45
01/09/2013,3.412
01/08/2013,3.432
01/07/2013,3.453
01/06/2013,3.453
01/05/2013,3.48
01/04/2013,3.45
01/03/2013,3.388
01/02/2013,3.408
01/01/2013,3.332
