DATE,CPILFESL
1993-01-01,150.1
1993-02-01,150.6
1993-03-01,150.8
1993-04-01,151.4
1993-05-01,151.8
1993-06-01,152.1
1993-07-01,152.3
1993-08-01,152.8
1993-09-01,152.9
1993-10-01,153.4
1993-11-01,153.9
1993-12-01,154.3
1994-01-01,154.5
1994-02-01,154.8
1994-03-01,155.3
1994-04-01,155.5
1994-05-01,155.9
1994-06-01,156.4
1994-07-01,156.7
1994-08-01,157.1
1994-09-01,157.5
1994-10-01,157.8
1994-11-01,158.2
1994-12-01,158.3
1995-01-01,159.0
1995-02-01,159.4
1995-03-01,159.9
1995-04-01,160.4
1995-05-01,160.7
1995-06-01,161.1
1995-07-01,161.4
1995-08-01,161.8
1995-09-01,162.2
1995-10-01,162.7
1995-11-01,163.0
1995-12-01,163.1
1996-01-01,163.7
1996-02-01,164.0
1996-03-01,164.4
1996-04-01,164.6
1996-05-01,165.0
1996-06-01,165.4
1996-07-01,165.7
1996-08-01,166.0
1996-09-01,166.5
1996-10-01,166.8
1996-11-01,167.2
1996-12-01,167.4
1997-01-01,167.8
1997-02-01,168.1
1997-03-01,168.4
1997-04-01,168.9
1997-05-01,169.2
1997-06-01,169.4
1997-07-01,169.7
1997-08-01,169.8
1997-09-01,170.2
1997-10-01,170.6
1997-11-01,170.8
1997-12-01,171.2
1998-01-01,171.6
1998-02-01,171.9
1998-03-01,172.2
1998-04-01,172.5
1998-05-01,172.9
1998-06-01,173.2
1998-07-01,173.5
1998-08-01,174.0
1998-09-01,174.2
1998-10-01,174.4
1998-11-01,174.8
1998-12-01,175.4
1999-01-01,175.6
1999-02-01,175.6
1999-03-01,175.7
1999-04-01,176.3
1999-05-01,176.5
1999-06-01,176.6
1999-07-01,177.1
1999-08-01,177.3
1999-09-01,177.8
1999-10-01,178.1
1999-11-01,178.4
1999-12-01,178.7
2000-01-01,179.3
2000-02-01,179.4
2000-03-01,180.0
2000-04-01,180.3
2000-05-01,180.7
2000-06-01,181.1
2000-07-01,181.5
2000-08-01,181.9
2000-09-01,182.3
2000-10-01,182.6
2000-11-01,183.1
2000-12-01,183.3
2001-01-01,183.9
2001-02-01,184.4
2001-03-01,184.7
2001-04-01,185.1
2001-05-01,185.3
2001-06-01,186.0
2001-07-01,186.4
2001-08-01,186.7
2001-09-01,187.1
2001-10-01,187.4
2001-11-01,188.1
2001-12-01,188.4
2002-01-01,188.7
2002-02-01,189.1
2002-03-01,189.2
2002-04-01,189.7
2002-05-01,190.0
2002-06-01,190.2
2002-07-01,190.5
2002-08-01,191.1
2002-09-01,191.3
2002-10-01,191.5
2002-11-01,191.9
2002-12-01,192.1
2003-01-01,192.400
2003-02-01,192.5
2003-03-01,192.5
2003-04-01,192.5
2003-05-01,192.9
2003-06-01,193.0
2003-07-01,193.4
2003-08-01,193.6
2003-09-01,193.7
2003-10-01,194.0
2003-11-01,194.0
2003-12-01,194.200
2004-01-01,194.600
2004-02-01,194.9
2004-03-01,195.5
2004-04-01,195.9
2004-05-01,196.2
2004-06-01,196.600
2004-07-01,196.8
2004-08-01,196.9
2004-09-01,197.5
2004-10-01,197.9
2004-11-01,198.3
2004-12-01,198.600
2005-01-01,199.0
2005-02-01,199.400
2005-03-01,200.100
2005-04-01,200.200
2005-05-01,200.5
2005-06-01,200.6
2005-07-01,200.9
2005-08-01,201.100
2005-09-01,201.300
2005-10-01,202.0
2005-11-01,202.5
2005-12-01,202.800
2006-01-01,203.2
2006-02-01,203.6
2006-03-01,204.300
2006-04-01,204.800
2006-05-01,205.400
2006-06-01,205.900
2006-07-01,206.300
2006-08-01,206.800
2006-09-01,207.200
2006-10-01,207.6
2006-11-01,207.800
