Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/30/2011,0.12,0.36,1.89,2.57,2.89
12/29/2011,0.12,0.41,1.91,2.58,2.9
12/28/2011,0.12,0.42,1.93,2.59,2.91
12/27/2011,0.12,0.45,2.02,2.72,3.04
12/23/2011,0.12,0.45,2.03,2.73,3.05
12/22/2011,0.12,0.41,1.97,2.67,2.99
12/21/2011,0.13,0.4,1.98,2.67,3.0
12/20/2011,0.12,0.39,1.94,2.61,2.93
12/19/2011,0.11,0.36,1.82,2.48,2.79
12/16/2011,0.11,0.35,1.86,2.54,2.86
12/15/2011,0.12,0.37,1.92,2.6,2.92
12/14/2011,0.12,0.36,1.92,2.59,2.91
12/13/2011,0.11,0.35,1.96,2.66,2.98
12/12/2011,0.1,0.36,2.03,2.75,3.06
12/09/2011,0.11,0.37,2.07,2.79,3.1
12/08/2011,0.1,0.35,1.99,2.7,3.0
12/07/2011,0.11,0.36,2.02,2.74,3.04
12/06/2011,0.11,0.41,2.08,2.74,3.09
12/05/2011,0.11,0.4,2.04,2.73,3.02
12/02/2011,0.12,0.39,2.05,2.74,3.03
12/01/2011,0.12,0.41,2.11,2.82,3.12
11/30/2011,0.12,0.41,2.08,2.77,3.06
11/29/2011,0.14,0.4,2.0,2.66,2.96
11/28/2011,0.13,0.39,1.97,2.63,2.93
11/25/2011,0.13,0.41,1.97,2.62,2.92
11/23/2011,0.12,0.4,1.89,2.53,2.82
11/22/2011,0.11,0.4,1.94,2.6,2.91
11/21/2011,0.11,0.41,1.97,2.65,2.96
11/18/2011,0.12,0.43,2.01,2.69,2.99
11/17/2011,0.1,0.4,1.96,2.66,2.98
11/16/2011,0.11,0.4,2.01,2.73,3.05
11/15/2011,0.11,0.4,2.06,2.79,3.1
11/14/2011,0.09,0.39,2.04,2.77,3.09
11/10/2011,0.1,0.38,2.04,2.8,3.12
11/09/2011,0.1,0.37,2.0,2.73,3.03
11/08/2011,0.1,0.39,2.1,2.84,3.13
11/07/2011,0.09,0.38,2.04,2.77,3.05
11/04/2011,0.11,0.37,2.06,2.81,3.09
11/03/2011,0.11,0.39,2.09,2.83,3.1
11/02/2011,0.11,0.37,2.03,2.75,3.03
11/01/2011,0.13,0.38,2.01,2.73,2.99
10/31/2011,0.12,0.41,2.17,2.89,3.16
10/28/2011,0.13,0.5,2.34,3.09,3.36
10/27/2011,0.14,0.53,2.42,3.18,3.45
10/26/2011,0.13,0.48,2.23,2.95,3.22
10/25/2011,0.11,0.43,2.14,2.86,3.13
10/24/2011,0.11,0.47,2.25,3.0,3.27
10/21/2011,0.12,0.46,2.23,2.98,3.26
10/20/2011,0.12,0.46,2.2,2.92,3.19
10/19/2011,0.11,0.46,2.18,2.9,3.17
10/18/2011,0.12,0.47,2.19,2.91,3.17
10/17/2011,0.12,0.48,2.18,2.88,3.13
10/14/2011,0.11,0.5,2.26,2.97,3.22
10/13/2011,0.11,0.51,2.19,2.9,3.15
10/12/2011,0.09,0.54,2.24,2.94,3.19
10/11/2011,0.12,0.54,2.18,2.87,3.11
10/07/2011,0.11,0.5,2.1,2.78,3.02
10/06/2011,0.09,0.46,2.01,2.71,2.96
10/05/2011,0.1,0.43,1.92,2.62,2.87
10/04/2011,0.11,0.4,1.81,2.53,2.77
10/03/2011,0.12,0.39,1.8,2.51,2.76
09/30/2011,0.13,0.42,1.92,2.66,2.9
09/29/2011,0.11,0.43,1.99,2.76,3.03
09/28/2011,0.12,0.42,2.03,2.82,3.1
09/27/2011,0.1,0.42,2.0,2.79,3.08
09/26/2011,0.1,0.39,1.91,2.69,2.99
09/23/2011,0.1,0.37,1.84,2.59,2.89
09/22/2011,0.1,0.34,1.72,2.48,2.78
09/21/2011,0.11,0.37,1.88,2.69,3.03
09/20/2011,0.09,0.3,1.95,2.82,3.2
09/19/2011,0.08,0.29,1.97,2.84,3.22
09/16/2011,0.09,0.33,2.08,2.96,3.34
09/15/2011,0.1,0.35,2.09,2.97,3.36
09/14/2011,0.09,0.35,2.03,2.92,3.32
09/13/2011,0.1,0.35,2.0,2.92,3.32
09/12/2011,0.11,0.35,1.94,2.84,3.24
09/09/2011,0.11,0.31,1.93,2.86,3.26
09/08/2011,0.12,0.33,2.0,2.92,3.32
09/07/2011,0.11,0.34,2.05,2.96,3.36
09/06/2011,0.13,0.33,1.98,2.86,3.26
09/02/2011,0.1,0.33,2.02,2.92,3.32
09/01/2011,0.1,0.31,2.15,3.1,3.51
08/31/2011,0.1,0.33,2.23,3.19,3.6
08/30/2011,0.09,0.33,2.19,3.12,3.53
08/29/2011,0.09,0.35,2.28,3.22,3.63
08/26/2011,0.09,0.33,2.19,3.13,3.54
08/25/2011,0.1,0.37,2.23,3.17,3.6
08/24/2011,0.11,0.41,2.29,3.23,3.63
08/23/2011,0.1,0.38,2.15,3.06,3.47
08/22/2011,0.09,0.37,2.1,3.0,3.42
08/19/2011,0.1,0.34,2.07,2.97,3.39
08/18/2011,0.1,0.33,2.08,3.02,3.45
08/17/2011,0.12,0.33,2.17,3.14,3.57
08/16/2011,0.12,0.33,2.23,3.23,3.67
08/15/2011,0.12,0.34,2.29,3.29,3.75
08/12/2011,0.11,0.32,2.24,3.24,3.72
08/11/2011,0.1,0.34,2.34,3.34,3.82
08/10/2011,0.09,0.33,2.17,3.08,3.54
08/09/2011,0.11,0.33,2.2,3.17,3.56
08/08/2011,0.12,0.45,2.4,3.31,3.68
08/05/2011,0.11,0.49,2.58,3.49,3.82
08/04/2011,0.12,0.44,2.47,3.37,3.7
08/03/2011,0.16,0.52,2.64,3.55,3.89
