Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/31/2009,0.47,1.7,3.85,4.58,4.63
12/30/2009,0.45,1.65,3.8,4.54,4.61
12/29/2009,0.47,1.64,3.82,4.57,4.64
12/28/2009,0.47,1.63,3.85,4.61,4.69
12/24/2009,0.43,1.56,3.82,4.6,4.68
12/23/2009,0.41,1.51,3.77,4.54,4.61
12/22/2009,0.41,1.48,3.76,4.52,4.6
12/21/2009,0.4,1.42,3.69,4.47,4.56
12/18/2009,0.36,1.32,3.55,4.36,4.46
12/17/2009,0.35,1.27,3.5,4.31,4.42
12/16/2009,0.38,1.36,3.61,4.42,4.52
12/15/2009,0.41,1.38,3.6,4.42,4.52
12/14/2009,0.37,1.35,3.56,4.39,4.49
12/11/2009,0.35,1.3,3.55,4.39,4.49
12/10/2009,0.32,1.26,3.49,4.37,4.5
12/09/2009,0.31,1.23,3.45,4.31,4.41
12/08/2009,0.29,1.21,3.4,4.28,4.39
12/07/2009,0.32,1.26,3.44,4.29,4.4
12/04/2009,0.36,1.34,3.48,4.31,4.4
12/03/2009,0.3,1.23,3.39,4.23,4.33
12/02/2009,0.28,1.19,3.32,4.14,4.26
12/01/2009,0.26,1.14,3.28,4.14,4.26
11/30/2009,0.27,1.12,3.21,4.07,4.2
11/27/2009,0.26,1.15,3.21,4.07,4.21
11/25/2009,0.26,1.23,3.28,4.12,4.23
11/24/2009,0.28,1.22,3.32,4.16,4.25
11/23/2009,0.29,1.28,3.37,4.2,4.29
11/20/2009,0.27,1.25,3.36,4.2,4.3
11/19/2009,0.27,1.24,3.35,4.19,4.29
11/18/2009,0.29,1.27,3.36,4.21,4.29
11/17/2009,0.32,1.28,3.33,4.17,4.26
11/16/2009,0.31,1.28,3.33,4.18,4.26
11/13/2009,0.32,1.34,3.43,4.29,4.36
11/12/2009,0.32,1.36,3.45,4.33,4.41
11/10/2009,0.33,1.39,3.5,4.36,4.41
11/09/2009,0.34,1.4,3.52,4.34,4.4
11/06/2009,0.34,1.4,3.54,4.35,4.4
11/05/2009,0.36,1.44,3.57,4.36,4.41
11/04/2009,0.36,1.46,3.57,4.36,4.41
11/03/2009,0.38,1.46,3.5,4.29,4.34
11/02/2009,0.38,1.44,3.45,4.22,4.26
10/30/2009,0.37,1.43,3.41,4.19,4.23
10/29/2009,0.4,1.52,3.53,4.31,4.35
10/28/2009,0.39,1.47,3.44,4.22,4.25
10/27/2009,0.39,1.51,3.49,4.26,4.29
10/26/2009,0.41,1.61,3.59,4.35,4.37
10/23/2009,0.4,1.57,3.51,4.27,4.29
10/22/2009,0.38,1.5,3.44,4.22,4.24
10/21/2009,0.4,1.51,3.42,4.2,4.22
10/20/2009,0.39,1.44,3.35,4.14,4.16
10/19/2009,0.38,1.5,3.41,4.19,4.21
10/16/2009,0.36,1.49,3.43,4.22,4.24
10/15/2009,0.36,1.5,3.49,4.29,4.31
10/14/2009,0.35,1.47,3.45,4.26,4.28
10/13/2009,0.35,1.42,3.34,4.14,4.16
10/09/2009,0.38,1.5,3.4,4.2,4.22
10/08/2009,0.35,1.4,3.27,4.05,4.09
10/07/2009,0.34,1.35,3.21,3.96,3.99
10/06/2009,0.37,1.43,3.27,4.03,4.07
10/05/2009,0.36,1.38,3.24,3.98,4.01
10/02/2009,0.37,1.38,3.24,3.98,4.01
10/01/2009,0.37,1.36,3.21,3.95,3.97
09/30/2009,0.4,1.45,3.31,4.02,4.03
09/29/2009,0.41,1.48,3.31,4.02,4.03
09/28/2009,0.4,1.47,3.31,4.02,4.04
09/25/2009,0.41,1.49,3.34,4.07,4.1
09/24/2009,0.39,1.45,3.4,4.14,4.17
09/23/2009,0.41,1.49,3.44,4.18,4.21
09/22/2009,0.42,1.54,3.46,4.18,4.2
09/21/2009,0.4,1.56,3.49,4.2,4.23
09/18/2009,0.41,1.57,3.49,4.2,4.24
09/17/2009,0.4,1.51,3.42,4.14,4.19
09/16/2009,0.38,1.55,3.48,4.22,4.26
09/15/2009,0.39,1.49,3.47,4.21,4.27
09/14/2009,0.4,1.46,3.42,4.16,4.22
09/11/2009,0.39,1.42,3.34,4.1,4.18
09/10/2009,0.4,1.42,3.36,4.11,4.19
09/09/2009,0.4,1.48,3.48,4.26,4.33
09/08/2009,0.41,1.49,3.47,4.24,4.31
09/04/2009,0.42,1.46,3.45,4.21,4.27
09/03/2009,0.42,1.42,3.33,4.09,4.15
09/02/2009,0.41,1.39,3.29,4.04,4.09
09/01/2009,0.43,1.44,3.38,4.14,4.19
08/31/2009,0.43,1.49,3.4,4.14,4.18
08/28/2009,0.44,1.55,3.46,4.17,4.21
08/27/2009,0.46,1.58,3.47,4.19,4.23
08/26/2009,0.45,1.57,3.44,4.15,4.2
08/25/2009,0.47,1.56,3.45,4.17,4.22
08/24/2009,0.44,1.57,3.48,4.22,4.27
08/21/2009,0.45,1.65,3.56,4.32,4.36
08/20/2009,0.42,1.53,3.42,4.18,4.24
08/19/2009,0.43,1.52,3.45,4.23,4.28
08/18/2009,0.43,1.57,3.51,4.29,4.35
08/17/2009,0.45,1.54,3.48,4.26,4.33
08/14/2009,0.44,1.61,3.55,4.33,4.41
08/13/2009,0.45,1.66,3.59,4.37,4.44
08/12/2009,0.47,1.76,3.72,4.49,4.53
08/11/2009,0.48,1.78,3.71,4.4,4.44
08/10/2009,0.49,1.79,3.8,4.49,4.52
08/07/2009,0.52,1.87,3.89,4.59,4.61
08/06/2009,0.48,1.77,3.79,4.51,4.53
08/05/2009,0.49,1.78,3.8,4.54,4.57
08/04/2009,0.47,1.75,3.7,4.44,4.45
08/03/2009,0.48,1.72,3.66,4.4,4.42
07/31/2009,0.48,1.62,3.52,4.29,4.31
07/30/2009,0.48,1.73,3.67,4.44,4.44
07/29/2009,0.5,1.72,3.69,4.49,4.5
