Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/29/1995,5.18,5.25,5.58,6.01,5.96
12/28/1995,5.18,5.27,5.63,6.04,5.98
12/27/1995,5.23,5.31,5.66,6.07,6.01
12/26/1995,5.26,5.34,5.69,6.1,6.04
12/22/1995,5.26,5.37,5.71,6.12,6.06
12/21/1995,5.29,5.41,5.77,6.19,6.11
12/20/1995,5.27,5.42,5.76,6.18,6.11
12/19/1995,5.28,5.45,5.81,6.21,6.14
12/18/1995,5.38,5.51,5.85,6.26,6.2
12/15/1995,5.32,5.41,5.75,6.15,6.09
12/14/1995,5.35,5.42,5.74,6.14,6.08
12/13/1995,5.37,5.45,5.74,6.12,6.07
12/12/1995,5.36,5.42,5.72,6.11,6.05
12/11/1995,5.35,5.41,5.71,6.11,6.04
12/08/1995,5.39,5.45,5.73,6.12,6.06
12/07/1995,5.35,5.42,5.72,6.13,6.07
12/06/1995,5.34,5.38,5.67,6.09,6.03
12/05/1995,5.33,5.34,5.65,6.09,6.04
12/04/1995,5.32,5.33,5.63,6.07,6.01
12/01/1995,5.33,5.37,5.71,6.16,6.1
11/30/1995,5.36,5.41,5.76,6.2,6.14
11/29/1995,5.42,5.49,5.85,6.29,6.22
11/28/1995,5.44,5.54,5.88,6.31,6.24
11/27/1995,5.41,5.53,5.88,6.31,6.23
11/24/1995,5.43,5.56,5.91,6.36,6.25
11/22/1995,5.46,5.58,5.93,6.37,6.28
11/21/1995,5.45,5.56,5.92,6.36,6.27
11/20/1995,5.41,5.53,5.93,6.33,6.25
11/17/1995,5.4,5.54,5.92,6.33,6.23
11/16/1995,5.42,5.56,5.93,6.32,6.24
11/15/1995,5.47,5.63,6.0,6.37,6.3
11/14/1995,5.43,5.58,5.97,6.36,6.3
11/13/1995,5.44,5.61,5.98,6.34,6.28
11/10/1995,5.47,5.64,6.0,6.39,6.33
11/09/1995,5.43,5.59,5.97,6.35,6.29
11/08/1995,5.41,5.58,5.92,6.3,6.25
11/07/1995,5.48,5.65,5.99,6.37,6.31
11/06/1995,5.46,5.62,5.96,6.34,6.29
11/03/1995,5.43,5.58,5.94,6.33,6.28
11/02/1995,5.41,5.56,5.92,6.31,6.25
11/01/1995,5.46,5.62,5.98,6.36,6.29
10/31/1995,5.55,5.7,6.03,6.4,6.34
10/30/1995,5.55,5.72,6.04,6.41,6.35
10/27/1995,5.56,5.73,6.05,6.4,6.35
10/26/1995,5.52,5.72,6.06,6.44,6.38
10/25/1995,5.56,5.72,6.0,6.37,6.32
10/24/1995,5.6,5.76,6.02,6.37,6.33
10/23/1995,5.65,5.82,6.07,6.44,6.38
10/20/1995,5.62,5.79,6.04,6.42,6.35
10/19/1995,5.58,5.73,5.98,6.37,6.31
10/18/1995,5.58,5.74,5.99,6.38,6.32
10/17/1995,5.57,5.71,5.97,6.36,6.3
10/16/1995,5.59,5.73,5.97,6.38,6.32
10/13/1995,5.58,5.72,5.97,6.37,6.3
10/12/1995,5.61,5.8,6.07,6.48,6.41
10/11/1995,5.61,5.82,6.09,6.5,6.44
10/10/1995,5.61,5.81,6.07,6.51,6.43
10/06/1995,5.59,5.81,6.06,6.51,6.43
10/05/1995,5.59,5.8,6.06,6.53,6.43
10/04/1995,5.6,5.82,6.12,6.54,6.44
10/03/1995,5.63,5.87,6.13,6.57,6.46
10/02/1995,5.65,5.89,6.15,6.61,6.48
09/29/1995,5.65,5.91,6.17,6.6,6.49
09/28/1995,5.73,6.0,6.28,6.71,6.59
09/27/1995,5.7,6.01,6.3,6.76,6.61
09/26/1995,5.71,5.98,6.28,6.71,6.58
09/25/1995,5.65,5.95,6.26,6.7,6.58
09/22/1995,5.63,5.93,6.25,6.7,6.59
09/21/1995,5.62,5.91,6.21,6.66,6.56
09/20/1995,5.52,5.81,6.1,6.57,6.46
09/19/1995,5.54,5.83,6.14,6.61,6.49
09/18/1995,5.56,5.86,6.17,6.64,6.53
09/15/1995,5.55,5.8,6.11,6.58,6.47
09/14/1995,5.51,5.76,6.08,6.56,6.45
09/13/1995,5.63,5.88,6.18,6.63,6.52
09/12/1995,5.61,5.84,6.16,6.6,6.51
09/11/1995,5.67,5.93,6.24,6.67,6.6
09/08/1995,5.67,5.95,6.24,6.66,6.6
09/07/1995,5.65,5.89,6.21,6.66,6.6
09/06/1995,5.6,5.84,6.17,6.63,6.57
09/05/1995,5.6,5.85,6.18,6.63,6.57
09/01/1995,5.6,5.89,6.22,6.67,6.61
08/31/1995,5.65,5.95,6.28,6.72,6.65
08/30/1995,5.66,5.98,6.33,6.77,6.7
08/29/1995,5.71,6.03,6.36,6.79,6.72
08/28/1995,5.66,5.97,6.34,6.77,6.7
08/25/1995,5.7,6.01,6.38,6.8,6.72
08/24/1995,5.77,6.12,6.5,6.92,6.84
08/23/1995,5.87,6.24,6.6,7.01,6.92
08/22/1995,5.88,6.21,6.57,6.98,6.89
08/21/1995,5.84,6.18,6.54,6.95,6.87
08/18/1995,5.88,6.24,6.57,7.0,6.91
08/17/1995,5.89,6.24,6.57,6.99,6.9
08/16/1995,5.84,6.18,6.54,6.97,6.89
08/15/1995,5.86,6.21,6.57,7.0,6.92
08/14/1995,5.81,6.19,6.59,7.06,6.96
08/11/1995,5.8,6.19,6.59,7.06,6.98
08/10/1995,5.7,6.07,6.51,6.97,6.9
08/09/1995,5.69,6.05,6.47,6.93,6.93
08/08/1995,5.68,6.01,6.47,6.9,6.89
08/07/1995,5.67,6.03,6.48,6.91,6.89
08/04/1995,5.68,6.06,6.5,6.92,6.9
08/03/1995,5.7,6.09,6.53,6.95,6.93
08/02/1995,5.66,6.03,6.44,6.88,6.86
08/01/1995,5.71,6.08,6.5,6.95,6.92
07/31/1995,5.67,6.02,6.45,6.88,6.86
07/28/1995,5.69,6.09,6.49,6.93,6.91
07/27/1995,5.66,6.03,6.43,6.86,6.84
07/26/1995,5.75,6.1,6.48,6.92,6.9
07/25/1995,5.75,6.07,6.43,6.86,6.84
07/24/1995,5.75,6.08,6.46,6.91,6.9
07/21/1995,5.75,6.11,6.53,6.98,6.96
07/20/1995,5.71,6.02,6.43,6.89,6.87
07/19/1995,5.6,5.99,6.43,6.9,6.89
07/18/1995,5.57,5.88,6.25,6.74,6.73
07/17/1995,5.55,5.86,6.22,6.69,6.67
07/14/1995,5.53,5.78,6.15,6.61,6.6
07/13/1995,5.46,5.7,6.09,6.56,6.55
07/12/1995,5.44,5.7,6.1,6.55,6.55
07/11/1995,5.47,5.69,6.09,6.57,6.57
07/10/1995,5.43,5.63,6.04,6.51,6.51
07/07/1995,5.42,5.61,6.04,6.52,6.52
07/06/1995,5.43,5.64,6.05,6.53,6.51
07/05/1995,5.62,5.84,6.19,6.64,6.61
07/03/1995,5.63,5.87,6.21,6.68,6.63
06/30/1995,5.65,5.88,6.21,6.64,6.63
06/29/1995,5.76,5.95,6.28,6.69,6.65
06/28/1995,5.58,5.76,6.1,6.53,6.52
06/27/1995,5.64,5.8,6.15,6.57,6.56
06/26/1995,5.6,5.76,6.11,6.55,6.54
06/23/1995,5.56,5.69,6.06,6.51,6.51
06/22/1995,5.53,5.67,6.04,6.47,6.48
06/21/1995,5.62,5.76,6.13,6.56,6.55
06/20/1995,5.64,5.8,6.16,6.58,6.57
06/19/1995,5.59,5.74,6.13,6.59,6.56
06/16/1995,5.66,5.83,6.21,6.64,6.62
06/15/1995,5.65,5.81,6.18,6.64,6.61
06/14/1995,5.6,5.74,6.15,6.59,6.57
06/13/1995,5.57,5.73,6.14,6.58,6.56
06/12/1995,5.83,6.04,6.37,6.76,6.71
06/09/1995,5.89,6.08,6.4,6.76,6.72
06/08/1995,5.78,5.91,6.22,6.59,6.57
06/07/1995,5.71,5.84,6.2,6.56,6.53
06/06/1995,5.56,5.67,6.08,6.54,6.51
06/05/1995,5.52,5.63,6.08,6.54,6.51
06/02/1995,5.51,5.64,6.1,6.55,6.52
06/01/1995,5.68,5.78,6.2,6.64,6.61
05/31/1995,5.8,5.95,6.3,6.72,6.67
05/30/1995,5.83,5.96,6.3,6.72,6.67
05/26/1995,5.87,6.05,6.4,6.8,6.75
05/25/1995,5.89,6.06,6.39,6.78,6.73
05/24/1995,5.86,6.08,6.44,6.81,6.77
05/23/1995,5.97,6.22,6.57,6.93,6.87
05/22/1995,6.03,6.3,6.63,6.98,6.92
05/19/1995,6.01,6.28,6.61,6.96,6.91
05/18/1995,6.01,6.28,6.61,6.96,6.91
05/17/1995,5.95,6.21,6.53,6.91,6.86
05/16/1995,5.96,6.22,6.57,6.92,6.87
05/15/1995,5.99,6.26,6.62,7.0,6.95
05/12/1995,6.03,6.31,6.67,7.05,7.0
05/11/1995,6.02,6.3,6.68,7.05,6.99
05/10/1995,5.96,6.23,6.66,7.04,6.97
05/09/1995,5.96,6.19,6.61,6.99,6.94
05/08/1995,6.01,6.3,6.7,7.08,7.02
05/05/1995,5.96,6.27,6.69,7.07,7.02
05/04/1995,6.1,6.46,6.85,7.22,7.15
05/03/1995,6.16,6.56,6.96,7.32,7.25
05/02/1995,6.26,6.67,7.04,7.41,7.33
05/01/1995,6.32,6.75,7.09,7.43,7.35
04/28/1995,6.32,6.72,7.07,7.42,7.34
04/27/1995,6.3,6.67,7.04,7.42,7.33
04/26/1995,6.21,6.62,7.01,7.4,7.32
04/25/1995,6.19,6.61,7.01,7.41,7.33
04/24/1995,6.17,6.58,7.01,7.39,7.32
04/21/1995,6.15,6.55,7.01,7.42,7.34
04/20/1995,6.15,6.56,7.02,7.43,7.35
04/19/1995,6.2,6.62,7.06,7.46,7.37
04/18/1995,6.17,6.56,7.04,7.49,7.4
04/17/1995,6.19,6.6,7.04,7.48,7.39
04/13/1995,6.19,6.64,7.03,7.42,7.34
04/12/1995,6.28,6.72,7.06,7.46,7.36
04/11/1995,6.31,6.76,7.09,7.47,7.37
04/10/1995,6.33,6.77,7.12,7.49,7.39
04/07/1995,6.33,6.76,7.11,7.5,7.39
04/06/1995,6.33,6.77,7.09,7.47,7.36
04/05/1995,6.38,6.81,7.12,7.48,7.38
04/04/1995,6.4,6.82,7.12,7.48,7.38
04/03/1995,6.45,6.86,7.14,7.49,7.39
03/31/1995,6.49,6.92,7.2,7.54,7.44
03/30/1995,6.43,6.88,7.18,7.54,7.43
03/29/1995,6.35,6.83,7.16,7.5,7.4
03/28/1995,6.38,6.85,7.16,7.52,7.41
03/27/1995,6.27,6.72,7.05,7.44,7.33
03/24/1995,6.31,6.75,7.09,7.5,7.38
03/23/1995,6.38,6.87,7.21,7.6,7.47
03/22/1995,6.4,6.87,7.21,7.58,7.46
03/21/1995,6.38,6.84,7.16,7.57,7.43
03/20/1995,6.37,6.81,7.12,7.52,7.4
03/17/1995,6.37,6.81,7.12,7.48,7.37
03/16/1995,6.35,6.76,7.05,7.45,7.33
03/15/1995,6.41,6.8,7.09,7.47,7.36
03/14/1995,6.39,6.8,7.09,7.45,7.35
03/13/1995,6.44,6.88,7.19,7.56,7.45
03/10/1995,6.49,6.94,7.23,7.57,7.46
03/09/1995,6.47,6.97,7.3,7.65,7.53
03/08/1995,6.56,7.05,7.36,7.69,7.56
03/07/1995,6.6,7.12,7.44,7.78,7.64
03/06/1995,6.59,7.1,7.41,7.73,7.59
03/03/1995,6.53,7.03,7.36,7.68,7.56
03/02/1995,6.53,7.0,7.3,7.62,7.5
03/01/1995,6.44,6.92,7.23,7.57,7.45
02/28/1995,6.44,6.9,7.22,7.58,7.46
02/27/1995,6.43,6.9,7.24,7.61,7.49
02/24/1995,6.5,7.0,7.33,7.66,7.54
02/23/1995,6.52,7.03,7.34,7.68,7.56
02/22/1995,6.49,7.04,7.34,7.67,7.54
02/21/1995,6.66,7.22,7.44,7.74,7.61
02/17/1995,6.62,7.2,7.43,7.71,7.59
02/16/1995,6.58,7.16,7.4,7.7,7.57
02/15/1995,6.68,7.24,7.45,7.7,7.58
02/14/1995,6.77,7.34,7.51,7.75,7.61
02/13/1995,6.85,7.45,7.61,7.8,7.67
02/10/1995,6.85,7.47,7.62,7.81,7.68
02/09/1995,6.79,7.43,7.58,7.78,7.65
02/08/1995,6.74,7.34,7.53,7.74,7.66
02/07/1995,6.78,7.36,7.52,7.73,7.65
02/06/1995,6.79,7.35,7.53,7.72,7.64
02/03/1995,6.77,7.3,7.49,7.7,7.61
02/02/1995,7.01,7.53,7.68,7.85,7.76
02/01/1995,6.97,7.44,7.66,7.85,7.75
01/31/1995,6.84,7.39,7.6,7.81,7.71
01/30/1995,6.8,7.4,7.65,7.86,7.76
01/27/1995,6.82,7.46,7.66,7.83,7.75
01/26/1995,6.9,7.54,7.76,7.95,7.85
01/25/1995,6.96,7.61,7.8,7.99,7.88
01/24/1995,7.04,7.71,7.86,8.05,7.93
01/23/1995,7.02,7.69,7.83,8.02,7.91
01/20/1995,7.04,7.7,7.82,8.02,7.9
01/19/1995,7.03,7.65,7.74,7.95,7.82
01/18/1995,7.03,7.64,7.71,7.91,7.78
01/17/1995,6.99,7.6,7.7,7.92,7.78
01/13/1995,6.89,7.55,7.69,7.93,7.8
01/12/1995,7.08,7.73,7.8,8.02,7.88
01/11/1995,7.13,7.73,7.79,7.98,7.85
01/10/1995,7.21,7.78,7.84,8.0,7.87
01/09/1995,7.27,7.84,7.89,8.03,7.9
01/06/1995,7.26,7.81,7.87,8.0,7.87
01/05/1995,7.32,7.83,7.88,8.03,7.91
01/04/1995,7.15,7.75,7.82,7.98,7.85
01/03/1995,7.23,7.84,7.88,8.07,7.93
