Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/31/2019,1.59,1.62,1.92,2.25,2.39
12/30/2019,1.57,1.59,1.9,2.21,2.34
12/27/2019,1.51,1.6,1.88,2.18,2.32
12/26/2019,1.53,1.65,1.9,2.19,2.33
12/24/2019,1.53,1.64,1.9,2.2,2.33
12/23/2019,1.53,1.67,1.93,2.22,2.35
12/20/2019,1.52,1.67,1.92,2.21,2.34
12/19/2019,1.52,1.65,1.92,2.21,2.35
12/18/2019,1.54,1.67,1.92,2.22,2.35
12/17/2019,1.53,1.66,1.89,2.18,2.31
12/16/2019,1.54,1.67,1.89,2.17,2.3
12/13/2019,1.54,1.62,1.82,2.11,2.26
12/12/2019,1.55,1.69,1.9,2.18,2.32
12/11/2019,1.55,1.62,1.79,2.08,2.23
12/10/2019,1.56,1.67,1.85,2.12,2.26
12/09/2019,1.56,1.63,1.83,2.13,2.27
12/06/2019,1.57,1.64,1.84,2.14,2.29
12/05/2019,1.56,1.6,1.8,2.11,2.24
12/04/2019,1.56,1.58,1.77,2.08,2.22
12/03/2019,1.57,1.54,1.72,2.03,2.17
12/02/2019,1.6,1.63,1.83,2.15,2.28
11/29/2019,1.6,1.61,1.78,2.07,2.21
11/27/2019,1.6,1.61,1.77,2.06,2.19
11/26/2019,1.59,1.58,1.74,2.04,2.18
11/25/2019,1.58,1.6,1.76,2.07,2.21
11/22/2019,1.56,1.6,1.77,2.08,2.22
11/21/2019,1.55,1.59,1.77,2.09,2.24
11/20/2019,1.54,1.55,1.73,2.05,2.2
11/19/2019,1.54,1.59,1.79,2.11,2.26
11/18/2019,1.54,1.59,1.81,2.14,2.3
11/15/2019,1.54,1.61,1.84,2.16,2.31
11/14/2019,1.55,1.59,1.82,2.15,2.31
11/13/2019,1.57,1.65,1.88,2.2,2.36
11/12/2019,1.58,1.69,1.92,2.24,2.39
11/08/2019,1.58,1.7,1.94,2.27,2.43
11/07/2019,1.58,1.7,1.92,2.24,2.4
11/06/2019,1.58,1.6,1.81,2.13,2.3
11/05/2019,1.62,1.63,1.86,2.17,2.34
11/04/2019,1.56,1.59,1.79,2.1,2.27
11/01/2019,1.53,1.55,1.73,2.03,2.21
10/31/2019,1.53,1.52,1.69,2.0,2.17
10/30/2019,1.59,1.6,1.78,2.08,2.26
10/29/2019,1.59,1.65,1.84,2.15,2.33
10/28/2019,1.6,1.65,1.85,2.16,2.34
10/25/2019,1.6,1.62,1.8,2.1,2.29
10/24/2019,1.59,1.58,1.77,2.08,2.26
10/23/2019,1.58,1.58,1.77,2.06,2.25
10/22/2019,1.59,1.59,1.78,2.07,2.26
10/21/2019,1.59,1.59,1.8,2.1,2.28
10/18/2019,1.58,1.56,1.76,2.06,2.25
10/17/2019,1.59,1.57,1.76,2.05,2.24
10/16/2019,1.59,1.57,1.75,2.05,2.23
10/15/2019,1.65,1.6,1.77,2.06,2.23
10/11/2019,1.67,1.6,1.76,2.04,2.22
10/10/2019,1.63,1.49,1.67,1.96,2.16
10/09/2019,1.59,1.43,1.59,1.88,2.08
10/08/2019,1.62,1.38,1.54,1.84,2.04
10/07/2019,1.64,1.41,1.56,1.85,2.05
10/04/2019,1.58,1.35,1.52,1.81,2.01
10/03/2019,1.58,1.34,1.54,1.85,2.04
10/02/2019,1.67,1.43,1.6,1.9,2.09
10/01/2019,1.73,1.51,1.65,1.93,2.11
09/30/2019,1.75,1.56,1.68,1.94,2.12
09/27/2019,1.74,1.58,1.69,1.95,2.13
09/26/2019,1.79,1.61,1.7,1.96,2.15
09/25/2019,1.82,1.61,1.73,1.99,2.18
09/24/2019,1.78,1.53,1.64,1.91,2.09
09/23/2019,1.81,1.61,1.72,1.98,2.16
09/20/2019,1.84,1.63,1.74,1.99,2.17
09/19/2019,1.88,1.68,1.79,2.04,2.22
09/18/2019,1.87,1.72,1.8,2.06,2.25
09/17/2019,1.87,1.68,1.81,2.08,2.27
09/16/2019,1.86,1.71,1.84,2.11,2.31
09/13/2019,1.88,1.76,1.9,2.17,2.37
09/12/2019,1.82,1.67,1.79,2.06,2.22
09/11/2019,1.79,1.62,1.75,2.02,2.22
09/10/2019,1.81,1.61,1.72,2.0,2.19
09/09/2019,1.74,1.52,1.63,1.91,2.11
09/06/2019,1.73,1.46,1.55,1.83,2.02
09/05/2019,1.73,1.47,1.57,1.86,2.06
09/04/2019,1.69,1.36,1.47,1.77,1.97
09/03/2019,1.72,1.38,1.47,1.77,1.95
08/30/2019,1.76,1.42,1.5,1.78,1.96
08/29/2019,1.75,1.44,1.5,1.78,1.97
08/28/2019,1.74,1.42,1.47,1.76,1.94
08/27/2019,1.77,1.43,1.49,1.77,1.97
08/26/2019,1.75,1.47,1.54,1.84,2.04
08/23/2019,1.73,1.43,1.52,1.82,2.02
08/22/2019,1.79,1.53,1.62,1.9,2.11
08/21/2019,1.77,1.5,1.59,1.87,2.07
08/20/2019,1.72,1.44,1.55,1.84,2.04
08/19/2019,1.75,1.49,1.6,1.88,2.08
08/16/2019,1.71,1.44,1.55,1.82,2.01
08/15/2019,1.72,1.44,1.52,1.8,1.98
08/14/2019,1.79,1.53,1.59,1.84,2.03
08/13/2019,1.86,1.6,1.68,1.94,2.15
08/12/2019,1.75,1.51,1.65,1.92,2.14
08/09/2019,1.78,1.58,1.74,2.03,2.26
08/08/2019,1.79,1.54,1.72,2.02,2.25
08/07/2019,1.75,1.51,1.71,2.01,2.22
08/06/2019,1.8,1.54,1.73,2.03,2.25
08/05/2019,1.78,1.55,1.75,2.07,2.3
08/02/2019,1.85,1.67,1.86,2.16,2.39
08/01/2019,1.88,1.67,1.9,2.21,2.44
07/31/2019,2.0,1.84,2.02,2.31,2.53
07/30/2019,1.97,1.82,2.06,2.36,2.58
07/29/2019,1.98,1.81,2.06,2.37,2.59
07/26/2019,2.0,1.83,2.08,2.38,2.59
07/25/2019,1.99,1.83,2.08,2.38,2.6
07/24/2019,1.98,1.79,2.05,2.36,2.58
07/23/2019,1.97,1.79,2.08,2.38,2.61
07/22/2019,1.95,1.77,2.05,2.36,2.58
07/19/2019,1.94,1.77,2.05,2.35,2.57
07/18/2019,1.9,1.74,2.04,2.34,2.56
07/17/2019,1.95,1.8,2.06,2.35,2.57
07/16/2019,2.0,1.84,2.13,2.42,2.63
07/15/2019,1.95,1.8,2.09,2.39,2.61
07/12/2019,1.96,1.81,2.12,2.42,2.64
07/11/2019,1.97,1.84,2.13,2.42,2.65
07/10/2019,1.93,1.79,2.07,2.36,2.57
07/09/2019,2.0,1.88,2.07,2.34,2.54
07/08/2019,1.99,1.84,2.05,2.32,2.53
07/05/2019,1.98,1.82,2.04,2.34,2.54
07/03/2019,1.91,1.71,1.96,2.25,2.47
07/02/2019,1.91,1.71,1.98,2.29,2.51
07/01/2019,1.94,1.74,2.03,2.34,2.55
06/28/2019,1.92,1.71,2.0,2.31,2.52
06/27/2019,1.93,1.71,2.01,2.31,2.52
06/26/2019,1.96,1.74,2.05,2.35,2.57
06/25/2019,1.93,1.67,2.0,2.31,2.53
06/24/2019,1.92,1.69,2.02,2.33,2.55
