Date,1 Yr,3 Yr,10 Yr
12/31/2003,1.26,2.37,4.27
12/30/2003,1.28,2.39,4.29
12/29/2003,1.31,2.37,4.24
12/26/2003,1.27,2.33,4.17
12/24/2003,1.28,2.36,4.2
12/23/2003,1.31,2.47,4.28
12/22/2003,1.27,2.37,4.18
12/19/2003,1.25,2.35,4.15
12/18/2003,1.24,2.38,4.16
12/17/2003,1.26,2.37,4.19
12/16/2003,1.28,2.37,4.24
12/15/2003,1.3,2.41,4.28
12/12/2003,1.28,2.4,4.26
12/11/2003,1.27,2.37,4.27
12/10/2003,1.33,2.48,4.3
12/09/2003,1.35,2.51,4.32
12/08/2003,1.33,2.48,4.29
12/05/2003,1.3,2.42,4.23
12/04/2003,1.38,2.61,4.38
12/03/2003,1.39,2.63,4.41
12/02/2003,1.38,2.6,4.38
12/01/2003,1.41,2.64,4.4
11/28/2003,1.39,2.56,4.34
11/26/2003,1.35,2.48,4.25
11/25/2003,1.32,2.4,4.19
11/24/2003,1.33,2.44,4.23
11/21/2003,1.29,2.35,4.15
11/20/2003,1.28,2.35,4.16
11/19/2003,1.32,2.42,4.24
11/18/2003,1.3,2.32,4.17
11/17/2003,1.29,2.31,4.18
11/14/2003,1.31,2.36,4.22
11/13/2003,1.33,2.45,4.3
11/12/2003,1.39,2.59,4.44
11/10/2003,1.39,2.63,4.49
11/07/2003,1.4,2.6,4.48
11/06/2003,1.38,2.55,4.45
11/05/2003,1.35,2.46,4.38
11/04/2003,1.31,2.4,4.33
11/03/2003,1.33,2.44,4.4
10/31/2003,1.31,2.36,4.33
10/30/2003,1.32,2.39,4.36
10/29/2003,1.29,2.32,4.31
10/28/2003,1.25,2.23,4.23
10/27/2003,1.31,2.35,4.3
10/24/2003,1.27,2.26,4.24
10/23/2003,1.3,2.37,4.34
10/22/2003,1.28,2.33,4.29
10/21/2003,1.32,2.41,4.38
10/20/2003,1.32,2.42,4.41
10/17/2003,1.31,2.41,4.41
10/16/2003,1.34,2.47,4.47
10/15/2003,1.27,2.32,4.43
10/14/2003,1.23,2.25,4.37
10/10/2003,1.21,2.18,4.29
10/09/2003,1.22,2.2,4.32
10/08/2003,1.21,2.17,4.27
10/07/2003,1.21,2.19,4.27
10/06/2003,1.15,2.11,4.17
10/03/2003,1.2,2.17,4.21
10/02/2003,1.14,1.96,4.03
10/01/2003,1.13,1.93,3.96
09/30/2003,1.15,1.95,3.96
09/29/2003,1.21,2.07,4.09
09/26/2003,1.21,2.06,4.04
09/25/2003,1.21,2.14,4.12
09/24/2003,1.22,2.15,4.16
09/23/2003,1.24,2.2,4.24
09/22/2003,1.24,2.21,4.26
09/19/2003,1.23,2.2,4.17
09/18/2003,1.23,2.16,4.19
09/17/2003,1.19,2.13,4.2
09/16/2003,1.22,2.16,4.29
09/15/2003,1.2,2.17,4.28
09/12/2003,1.2,2.19,4.27
09/11/2003,1.22,2.27,4.35
09/10/2003,1.2,2.19,4.28
09/09/2003,1.23,2.29,4.37
09/08/2003,1.27,2.33,4.41
09/05/2003,1.24,2.28,4.35
09/04/2003,1.33,2.51,4.52
09/03/2003,1.36,2.62,4.6
09/02/2003,1.39,2.62,4.61
08/29/2003,1.35,2.51,4.45
08/28/2003,1.34,2.48,4.42
08/27/2003,1.38,2.61,4.54
08/26/2003,1.32,2.55,4.5
08/25/2003,1.35,2.59,4.53
08/22/2003,1.35,2.54,4.48
08/21/2003,1.37,2.56,4.53
08/20/2003,1.3,2.43,4.45
08/19/2003,1.29,2.37,4.38
08/18/2003,1.33,2.46,4.49
08/15/2003,1.3,2.47,4.55
08/14/2003,1.31,2.47,4.55
08/13/2003,1.31,2.47,4.58
08/12/2003,1.25,2.29,4.37
08/11/2003,1.3,2.35,4.38
08/08/2003,1.22,2.27,4.27
08/07/2003,1.26,2.3,4.3
08/06/2003,1.28,2.36,4.32
08/05/2003,1.32,2.44,4.47
08/04/2003,1.24,2.24,4.35
08/01/2003,1.31,2.38,4.44
07/31/2003,1.28,2.33,4.49
07/30/2003,1.17,2.21,4.34
07/29/2003,1.17,2.26,4.42
07/28/2003,1.17,2.17,4.31
07/25/2003,1.13,2.06,4.22
07/24/2003,1.13,2.05,4.2
07/23/2003,1.11,2.04,4.12
07/22/2003,1.12,2.1,4.17
07/21/2003,1.17,2.11,4.19
07/18/2003,1.12,1.98,4.0
07/17/2003,1.11,1.93,3.98
07/16/2003,1.12,1.94,3.97
07/15/2003,1.1,1.89,3.94
07/14/2003,1.07,1.74,3.74
07/11/2003,1.06,1.67,3.66
07/10/2003,1.07,1.72,3.7
07/09/2003,1.09,1.77,3.73
07/08/2003,1.09,1.79,3.75
07/07/2003,1.08,1.76,3.74
07/03/2003,1.07,1.69,3.67
07/02/2003,1.06,1.65,3.56
07/01/2003,1.07,1.66,3.56
06/30/2003,1.09,1.66,3.54
06/27/2003,1.09,1.72,3.58
06/26/2003,1.11,1.73,3.55
06/25/2003,1.05,1.57,3.38
06/24/2003,0.91,1.44,3.29
06/23/2003,0.94,1.47,3.32
06/20/2003,0.94,1.55,3.4
06/19/2003,0.88,1.5,3.35
06/18/2003,0.96,1.59,3.37
06/17/2003,1.0,1.53,3.27
06/16/2003,0.95,1.44,3.18
06/13/2003,0.9,1.34,3.13
06/12/2003,0.95,1.38,3.18
06/11/2003,1.0,1.42,3.21
06/10/2003,0.98,1.38,3.2
06/09/2003,1.04,1.45,3.29
06/06/2003,1.08,1.53,3.37
06/05/2003,1.07,1.52,3.34
06/04/2003,1.04,1.46,3.3
06/03/2003,1.07,1.51,3.34
06/02/2003,1.15,1.61,3.43
05/30/2003,1.13,1.58,3.37
05/29/2003,1.11,1.56,3.34
05/28/2003,1.15,1.62,3.44
05/27/2003,1.13,1.63,3.41
05/23/2003,1.14,1.65,3.34
05/22/2003,1.14,1.65,3.34
05/21/2003,1.15,1.67,3.39
05/20/2003,1.1,1.62,3.38
05/19/2003,1.14,1.66,3.46
05/16/2003,1.15,1.69,3.46
05/15/2003,1.21,1.78,3.53
05/14/2003,1.2,1.72,3.53
05/13/2003,1.23,1.82,3.63
05/12/2003,1.22,1.81,3.64
05/09/2003,1.22,1.81,3.69
05/08/2003,1.24,1.82,3.7
05/07/2003,1.21,1.83,3.72
05/06/2003,1.19,1.87,3.84
05/05/2003,1.27,1.98,3.92
05/02/2003,1.27,2.0,3.94
05/01/2003,1.21,1.93,3.88
04/30/2003,1.22,1.95,3.89
04/29/2003,1.28,2.06,3.96
04/28/2003,1.28,2.02,3.92
04/25/2003,1.26,2.0,3.91
04/24/2003,1.28,2.05,3.93
04/23/2003,1.33,2.14,4.02
04/22/2003,1.34,2.14,4.01
04/21/2003,1.35,2.16,4.0
04/17/2003,1.34,2.15,3.98
04/16/2003,1.31,2.1,3.96
04/15/2003,1.32,2.12,3.98
04/14/2003,1.33,2.17,4.04
04/11/2003,1.3,2.09,4.0
04/10/2003,1.25,2.03,3.95
04/09/2003,1.22,1.99,3.93
04/08/2003,1.21,2.03,3.95
04/07/2003,1.25,2.1,4.03
04/04/2003,1.18,2.0,3.96
04/03/2003,1.18,1.99,3.93
04/02/2003,1.22,2.03,3.94
04/01/2003,1.16,1.92,3.84
03/31/2003,1.19,1.93,3.83
03/28/2003,1.22,1.99,3.92
03/27/2003,1.25,2.05,3.95
03/26/2003,1.27,2.11,3.96
03/25/2003,1.28,2.12,3.97
03/24/2003,1.32,2.14,3.98
03/21/2003,1.36,2.25,4.11
03/20/2003,1.34,2.18,4.01
03/19/2003,1.32,2.14,3.98
03/18/2003,1.35,2.12,3.91
03/17/2003,1.24,2.03,3.82
03/14/2003,1.22,1.95,3.72
03/13/2003,1.24,1.98,3.74
03/12/2003,1.14,1.82,3.6
03/11/2003,1.12,1.76,3.6
03/10/2003,1.09,1.73,3.59
03/07/2003,1.15,1.77,3.63
03/06/2003,1.22,1.85,3.67
03/05/2003,1.22,1.82,3.63
03/04/2003,1.24,1.85,3.65
03/03/2003,1.26,1.89,3.68
02/28/2003,1.24,1.91,3.71
02/27/2003,1.27,1.96,3.76
02/26/2003,1.27,1.96,3.78
02/25/2003,1.27,1.98,3.81
02/24/2003,1.28,2.0,3.86
02/21/2003,1.31,2.04,3.9
02/20/2003,1.29,2.0,3.85
02/19/2003,1.29,2.03,3.88
02/18/2003,1.31,2.08,3.94
02/14/2003,1.3,2.05,3.95
02/13/2003,1.27,1.99,3.89
02/12/2003,1.29,2.05,3.93
02/11/2003,1.3,2.1,3.98
02/10/2003,1.33,2.13,3.99
02/07/2003,1.28,2.08,3.96
02/06/2003,1.32,2.13,3.97
02/05/2003,1.34,2.18,4.02
02/04/2003,1.33,2.12,3.96
02/03/2003,1.34,2.17,4.01
