Date,1 Yr,3 Yr,10 Yr,30 Yr
12/30/2016,0.85,1.47,2.45,3.06
12/29/2016,0.85,1.49,2.49,3.08
12/28/2016,0.9,1.55,2.51,3.09
12/27/2016,0.89,1.58,2.57,3.14
12/23/2016,0.87,1.54,2.55,3.12
12/22/2016,0.87,1.54,2.55,3.12
12/21/2016,0.88,1.54,2.55,3.12
12/20/2016,0.9,1.56,2.57,3.15
12/19/2016,0.9,1.55,2.54,3.12
12/16/2016,0.91,1.59,2.6,3.19
12/15/2016,0.91,1.61,2.6,3.16
12/14/2016,0.92,1.57,2.54,3.14
12/13/2016,0.88,1.46,2.48,3.14
12/12/2016,0.85,1.44,2.49,3.16
12/09/2016,0.85,1.43,2.47,3.16
12/08/2016,0.84,1.4,2.4,3.1
12/07/2016,0.85,1.39,2.34,3.02
12/06/2016,0.83,1.41,2.39,3.08
12/05/2016,0.82,1.42,2.39,3.05
12/02/2016,0.8,1.4,2.4,3.08
12/01/2016,0.82,1.45,2.45,3.1
11/30/2016,0.8,1.4,2.37,3.02
11/29/2016,0.78,1.37,2.3,2.95
11/28/2016,0.79,1.38,2.32,2.99
11/25/2016,0.81,1.41,2.36,3.01
11/23/2016,0.8,1.4,2.36,3.02
11/22/2016,0.78,1.35,2.31,3.0
11/21/2016,0.78,1.36,2.33,3.0
11/18/2016,0.77,1.36,2.34,3.01
11/17/2016,0.77,1.31,2.29,3.01
11/16/2016,0.76,1.28,2.22,2.92
11/15/2016,0.78,1.28,2.23,2.97
11/14/2016,0.77,1.27,2.23,2.99
11/10/2016,0.72,1.17,2.15,2.94
11/09/2016,0.72,1.12,2.07,2.88
11/08/2016,0.71,1.04,1.88,2.63
11/07/2016,0.63,0.99,1.83,2.6
11/04/2016,0.62,0.95,1.79,2.56
11/03/2016,0.64,0.98,1.82,2.6
11/02/2016,0.64,0.98,1.81,2.56
11/01/2016,0.65,0.99,1.83,2.58
10/31/2016,0.66,1.0,1.84,2.58
10/28/2016,0.66,1.02,1.86,2.62
10/27/2016,0.68,1.04,1.85,2.6
10/26/2016,0.67,1.01,1.79,2.53
10/25/2016,0.66,1.0,1.77,2.5
10/24/2016,0.66,1.0,1.77,2.52
10/21/2016,0.66,0.98,1.74,2.48
10/20/2016,0.66,0.98,1.76,2.5
10/19/2016,0.65,0.96,1.76,2.51
10/18/2016,0.66,0.96,1.75,2.51
10/17/2016,0.65,0.98,1.77,2.52
10/14/2016,0.66,1.0,1.8,2.55
10/13/2016,0.66,1.0,1.75,2.48
10/12/2016,0.68,0.99,1.79,2.51
10/11/2016,0.69,1.03,1.77,2.5
10/07/2016,0.66,0.99,1.73,2.46
10/06/2016,0.65,1.0,1.75,2.46
10/05/2016,0.65,0.98,1.72,2.44
10/04/2016,0.64,0.95,1.69,2.4
10/03/2016,0.63,0.91,1.63,2.34
09/30/2016,0.59,0.88,1.6,2.32
09/29/2016,0.59,0.85,1.56,2.28
09/28/2016,0.6,0.87,1.57,2.29
09/27/2016,0.58,0.86,1.56,2.28
09/26/2016,0.58,0.87,1.59,2.32
09/23/2016,0.6,0.9,1.62,2.34
09/22/2016,0.6,0.91,1.63,2.34
09/21/2016,0.61,0.92,1.66,2.39
09/20/2016,0.61,0.93,1.69,2.43
09/19/2016,0.6,0.92,1.7,2.45
09/16/2016,0.61,0.91,1.7,2.44
09/15/2016,0.6,0.87,1.71,2.48
09/14/2016,0.62,0.9,1.7,2.44
09/13/2016,0.63,0.95,1.73,2.47
09/12/2016,0.57,0.92,1.68,2.4
09/09/2016,0.58,0.93,1.67,2.39
09/08/2016,0.57,0.91,1.61,2.32
09/07/2016,0.57,0.86,1.54,2.23
09/06/2016,0.56,0.86,1.55,2.24
09/02/2016,0.59,0.92,1.6,2.28
09/01/2016,0.6,0.91,1.57,2.23
08/31/2016,0.61,0.92,1.58,2.23
08/30/2016,0.61,0.92,1.57,2.23
08/29/2016,0.62,0.92,1.57,2.22
08/26/2016,0.62,0.96,1.62,2.29
08/25/2016,0.6,0.89,1.58,2.27
08/24/2016,0.59,0.87,1.56,2.24
08/23/2016,0.58,0.86,1.55,2.24
08/22/2016,0.58,0.86,1.55,2.24
08/19/2016,0.59,0.88,1.58,2.29
08/18/2016,0.58,0.81,1.53,2.26
08/17/2016,0.58,0.86,1.56,2.27
08/16/2016,0.57,0.87,1.57,2.29
08/15/2016,0.56,0.85,1.55,2.27
08/12/2016,0.56,0.82,1.51,2.23
08/11/2016,0.55,0.88,1.57,2.28
08/10/2016,0.55,0.8,1.5,2.23
08/09/2016,0.55,0.84,1.55,2.25
08/08/2016,0.57,0.86,1.59,2.3
08/05/2016,0.56,0.86,1.59,2.32
08/04/2016,0.51,0.76,1.51,2.25
08/03/2016,0.53,0.78,1.55,2.29
08/02/2016,0.5,0.79,1.55,2.29
08/01/2016,0.5,0.78,1.51,2.24
07/29/2016,0.5,0.76,1.46,2.18
07/28/2016,0.53,0.82,1.52,2.23
07/27/2016,0.53,0.83,1.52,2.23
07/26/2016,0.55,0.87,1.57,2.28
07/25/2016,0.55,0.87,1.58,2.29
