Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/31/2018,2.63,2.46,2.69,2.87,3.02
12/28/2018,2.57,2.5,2.72,2.89,3.04
12/27/2018,2.58,2.55,2.77,2.92,3.05
12/26/2018,2.61,2.6,2.81,2.94,3.06
12/24/2018,2.61,2.56,2.74,2.88,3.0
12/21/2018,2.62,2.61,2.79,2.92,3.03
12/20/2018,2.64,2.65,2.79,2.92,3.02
12/19/2018,2.62,2.61,2.77,2.89,3.0
12/18/2018,2.64,2.64,2.82,2.96,3.07
12/17/2018,2.66,2.68,2.86,3.0,3.11
12/14/2018,2.68,2.72,2.89,3.03,3.14
12/13/2018,2.69,2.76,2.91,3.05,3.16
12/12/2018,2.7,2.78,2.91,3.04,3.15
12/11/2018,2.7,2.78,2.89,3.02,3.13
12/10/2018,2.69,2.73,2.85,3.0,3.13
12/07/2018,2.68,2.72,2.85,3.01,3.14
12/06/2018,2.7,2.76,2.87,3.01,3.14
12/04/2018,2.71,2.81,2.91,3.05,3.16
12/03/2018,2.72,2.84,2.98,3.15,3.27
11/30/2018,2.7,2.83,3.01,3.19,3.3
11/29/2018,2.69,2.83,3.03,3.21,3.33
11/28/2018,2.69,2.84,3.06,3.23,3.34
11/27/2018,2.7,2.86,3.06,3.22,3.32
11/26/2018,2.7,2.86,3.07,3.22,3.32
11/23/2018,2.67,2.83,3.05,3.21,3.31
11/21/2018,2.67,2.84,3.06,3.22,3.31
11/20/2018,2.67,2.83,3.06,3.22,3.31
11/19/2018,2.66,2.82,3.06,3.22,3.32
11/16/2018,2.68,2.85,3.08,3.23,3.33
11/15/2018,2.7,2.91,3.11,3.27,3.36
11/14/2018,2.71,2.92,3.12,3.26,3.35
11/13/2018,2.72,2.95,3.14,3.28,3.36
11/09/2018,2.73,3.01,3.19,3.32,3.4
11/08/2018,2.74,3.05,3.24,3.36,3.43
11/07/2018,2.74,3.03,3.22,3.35,3.43
11/06/2018,2.72,3.01,3.22,3.35,3.43
11/05/2018,2.71,2.99,3.2,3.34,3.43
11/02/2018,2.7,2.98,3.22,3.37,3.46
11/01/2018,2.67,2.91,3.14,3.29,3.38
10/31/2018,2.69,2.93,3.15,3.3,3.39
10/30/2018,2.66,2.9,3.12,3.26,3.36
10/29/2018,2.64,2.86,3.08,3.23,3.33
10/26/2018,2.63,2.85,3.08,3.23,3.32
10/25/2018,2.66,2.92,3.14,3.27,3.35
10/24/2018,2.64,2.89,3.1,3.24,3.33
10/23/2018,2.67,2.95,3.17,3.29,3.37
10/22/2018,2.68,2.99,3.2,3.31,3.38
10/19/2018,2.67,2.99,3.2,3.31,3.38
10/18/2018,2.67,2.95,3.17,3.28,3.36
10/17/2018,2.66,2.97,3.19,3.29,3.35
10/16/2018,2.66,2.95,3.16,3.26,3.32
10/15/2018,2.67,2.94,3.16,3.27,3.34
10/12/2018,2.66,2.93,3.15,3.25,3.32
10/11/2018,2.66,2.94,3.14,3.25,3.32
10/10/2018,2.67,2.97,3.22,3.33,3.39
10/09/2018,2.65,2.98,3.21,3.3,3.37
10/05/2018,2.64,2.99,3.23,3.34,3.4
10/04/2018,2.63,2.97,3.19,3.29,3.35
10/03/2018,2.62,2.94,3.15,3.24,3.3
10/02/2018,2.61,2.88,3.05,3.14,3.2
