Date,1 Yr,3 Yr,10 Yr,30 Yr
12/31/1993,3.63,4.58,5.83,6.35
12/30/1993,3.62,4.58,5.82,6.34
12/29/1993,3.6,4.51,5.74,6.25
12/28/1993,3.6,4.49,5.72,6.24
12/27/1993,3.61,4.5,5.72,6.23
12/23/1993,3.59,4.49,5.72,6.22
12/22/1993,3.59,4.5,5.74,6.22
12/21/1993,3.62,4.58,5.85,6.32
12/20/1993,3.61,4.58,5.83,6.3
12/17/1993,3.58,4.54,5.81,6.29
12/16/1993,3.6,4.58,5.84,6.31
12/15/1993,3.61,4.58,5.83,6.29
12/14/1993,3.63,4.59,5.82,6.29
12/13/1993,3.62,4.56,5.78,6.24
12/10/1993,3.62,4.53,5.73,6.19
12/09/1993,3.6,4.49,5.68,6.15
12/08/1993,3.6,4.5,5.71,6.17
12/07/1993,3.6,4.52,5.71,6.17
12/06/1993,3.57,4.5,5.72,6.17
12/03/1993,3.62,4.59,5.8,6.25
12/02/1993,3.62,4.55,5.81,6.27
12/01/1993,3.62,4.54,5.82,6.28
11/30/1993,3.65,4.55,5.83,6.29
11/29/1993,3.6,4.49,5.76,6.23
11/26/1993,3.58,4.52,5.78,6.26
11/24/1993,3.6,4.54,5.84,6.31
11/23/1993,3.6,4.55,5.82,6.3
11/22/1993,3.65,4.61,5.89,6.36
11/19/1993,3.64,4.58,5.84,6.34
11/18/1993,3.59,4.49,5.72,6.23
11/17/1993,3.55,4.42,5.65,6.19
11/16/1993,3.56,4.45,5.66,6.17
11/15/1993,3.56,4.49,5.69,6.17
11/12/1993,3.54,4.45,5.66,6.15
11/10/1993,3.56,4.51,5.72,6.21
11/09/1993,3.54,4.47,5.64,6.16
11/08/1993,3.55,4.47,5.7,6.22
11/05/1993,3.58,4.53,5.75,6.22
11/04/1993,3.55,4.47,5.67,6.19
11/03/1993,3.56,4.46,5.67,6.11
11/02/1993,3.59,4.49,5.63,6.07
11/01/1993,3.53,4.42,5.56,6.02
10/29/1993,3.47,4.3,5.43,5.96
10/28/1993,3.47,4.29,5.41,5.97
10/27/1993,3.47,4.28,5.44,6.0
10/26/1993,3.45,4.25,5.43,6.0
10/25/1993,3.45,4.26,5.47,6.02
10/22/1993,3.42,4.23,5.42,5.98
10/21/1993,3.4,4.19,5.35,5.92
10/20/1993,3.38,4.13,5.26,5.83
10/19/1993,3.39,4.14,5.27,5.85
10/18/1993,3.39,4.14,5.27,5.85
10/15/1993,3.35,4.06,5.19,5.78
10/14/1993,3.36,4.09,5.23,5.86
10/13/1993,3.36,4.11,5.27,5.92
10/12/1993,3.36,4.11,5.27,5.92
10/08/1993,3.33,4.09,5.26,5.92
10/07/1993,3.35,4.15,5.33,6.01
10/06/1993,3.36,4.16,5.35,6.01
10/05/1993,3.38,4.18,5.35,6.01
10/04/1993,3.35,4.16,5.34,5.99
10/01/1993,3.35,4.18,5.34,5.98
09/30/1993,3.39,4.24,5.4,6.04
09/29/1993,3.36,4.19,5.35,6.0
09/28/1993,3.32,4.11,5.28,5.94
09/27/1993,3.32,4.12,5.3,5.97
09/24/1993,3.39,4.22,5.42,6.06
09/23/1993,3.39,4.22,5.42,6.06
09/22/1993,3.39,4.22,5.45,6.1
09/21/1993,3.38,4.21,5.47,6.14
09/20/1993,3.41,4.23,5.42,6.08
09/17/1993,3.39,4.19,5.38,6.04
09/16/1993,3.39,4.19,5.37,6.01
09/15/1993,3.39,4.19,5.39,6.0
09/14/1993,3.41,4.23,5.37,5.97
09/13/1993,3.33,4.13,5.26,5.86
09/10/1993,3.32,4.11,5.29,5.89
09/09/1993,3.37,4.18,5.35,5.96
09/08/1993,3.32,4.07,5.23,5.86
09/07/1993,3.26,4.01,5.23,5.88
09/03/1993,3.25,4.04,5.31,5.95
09/02/1993,3.34,4.16,5.41,6.04
09/01/1993,3.36,4.21,5.46,6.09
08/31/1993,3.38,4.2,5.45,6.09
08/30/1993,3.35,4.18,5.44,6.12
08/27/1993,3.38,4.2,5.48,6.13
08/26/1993,3.34,4.16,5.42,6.09
08/25/1993,3.35,4.2,5.51,6.18
08/24/1993,3.36,4.24,5.54,6.2
08/23/1993,3.4,4.3,5.6,6.22
08/20/1993,3.39,4.29,5.61,6.22
08/19/1993,3.39,4.29,5.64,6.21
08/18/1993,3.41,4.36,5.69,6.26
08/17/1993,3.43,4.39,5.7,6.31
08/16/1993,3.42,4.35,5.68,6.31
08/13/1993,3.43,4.38,5.72,6.35
08/12/1993,3.47,4.43,5.77,6.37
08/11/1993,3.5,4.47,5.75,6.44
08/10/1993,3.51,4.48,5.82,6.45
08/09/1993,3.48,4.45,5.82,6.47
08/06/1993,3.52,4.48,5.86,6.53
08/05/1993,3.54,4.5,5.86,6.53
08/04/1993,3.57,4.55,5.87,6.54
08/03/1993,3.56,4.55,5.83,6.53
08/02/1993,3.58,4.55,5.85,6.56
07/30/1993,3.53,4.5,5.83,6.57
07/29/1993,3.51,4.46,5.81,6.57
07/28/1993,3.59,4.57,5.9,6.66
07/27/1993,3.61,4.59,5.92,6.68
07/26/1993,3.59,4.58,5.93,6.68
07/23/1993,3.62,4.62,5.95,6.71
07/22/1993,3.61,4.59,5.9,6.65
07/21/1993,3.52,4.49,5.83,6.62
07/20/1993,3.48,4.42,5.75,6.55
07/19/1993,3.42,4.35,5.71,6.54
07/16/1993,3.41,4.34,5.71,6.54
07/15/1993,3.41,4.34,5.72,6.55
07/14/1993,3.4,4.32,5.72,6.56
07/13/1993,3.44,4.39,5.78,6.62
07/12/1993,3.4,4.33,5.75,6.62
07/09/1993,3.41,4.34,5.76,6.64
07/08/1993,3.42,4.35,5.78,6.66
07/07/1993,3.43,4.38,5.8,6.68
07/06/1993,3.42,4.38,5.8,6.68
07/02/1993,3.34,4.31,5.76,6.67
07/01/1993,3.41,4.37,5.8,6.69
06/30/1993,3.45,4.39,5.8,6.68
06/29/1993,3.45,4.37,5.79,6.67
06/28/1993,3.47,4.41,5.8,6.67
06/25/1993,3.5,4.45,5.84,6.71
06/24/1993,3.54,4.49,5.88,6.74
06/23/1993,3.56,4.54,5.91,6.77
06/22/1993,3.51,4.51,5.91,6.78
06/21/1993,3.52,4.51,5.92,6.78
06/18/1993,3.52,4.53,5.97,6.82
06/17/1993,3.46,4.47,5.93,6.81
06/16/1993,3.47,4.47,5.96,6.82
06/15/1993,3.48,4.49,5.96,6.83
06/14/1993,3.5,4.52,5.97,6.81
06/11/1993,3.51,4.53,5.97,6.8
06/10/1993,3.62,4.67,6.07,6.88
06/09/1993,3.62,4.67,6.07,6.87
06/08/1993,3.66,4.7,6.09,6.91
06/07/1993,3.65,4.66,6.08,6.88
06/04/1993,3.67,4.67,6.11,6.91
06/03/1993,3.53,4.52,6.02,6.86
06/02/1993,3.56,4.57,6.06,6.88
06/01/1993,3.55,4.54,6.07,6.88
05/28/1993,3.62,4.63,6.16,6.98
05/27/1993,3.58,4.6,6.11,6.93
05/26/1993,3.51,4.57,6.12,6.94
05/25/1993,3.52,4.59,6.17,7.01
05/24/1993,3.52,4.59,6.16,6.99
05/21/1993,3.45,4.53,6.16,7.03
05/20/1993,3.39,4.45,6.09,6.99
05/19/1993,3.37,4.45,6.11,6.98
05/18/1993,3.4,4.49,6.15,7.02
05/17/1993,3.41,4.47,6.07,6.97
05/14/1993,3.33,4.38,6.03,6.95
05/13/1993,3.3,4.35,6.02,6.96
05/12/1993,3.26,4.28,5.96,6.86
05/11/1993,3.23,4.25,5.89,6.82
05/10/1993,3.22,4.24,5.89,6.81
05/07/1993,3.23,4.25,5.92,6.85
05/06/1993,3.22,4.24,5.89,6.8
05/05/1993,3.26,4.27,5.93,6.82
05/04/1993,3.23,4.23,5.92,6.81
05/03/1993,3.22,4.23,5.96,6.86
04/30/1993,3.26,4.3,6.05,6.95
04/29/1993,3.24,4.28,5.99,6.88
