Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/29/2006,5.0,4.74,4.71,4.91,4.81
12/28/2006,5.01,4.72,4.7,4.9,4.81
12/27/2006,4.99,4.69,4.66,4.87,4.78
12/26/2006,4.97,4.63,4.61,4.82,4.73
12/22/2006,4.96,4.64,4.63,4.85,4.76
12/21/2006,4.93,4.57,4.55,4.78,4.7
12/20/2006,4.96,4.62,4.6,4.82,4.73
12/19/2006,4.96,4.62,4.6,4.82,4.73
12/18/2006,4.97,4.62,4.6,4.81,4.72
12/15/2006,4.96,4.62,4.6,4.81,4.72
12/14/2006,4.97,4.63,4.6,4.81,4.72
12/13/2006,4.95,4.6,4.58,4.78,4.69
12/12/2006,4.91,4.49,4.49,4.7,4.6
12/11/2006,4.94,4.55,4.52,4.73,4.63
12/08/2006,4.95,4.57,4.56,4.76,4.66
12/07/2006,4.9,4.48,4.49,4.7,4.6
12/06/2006,4.9,4.48,4.48,4.69,4.6
12/05/2006,4.86,4.43,4.45,4.67,4.57
12/04/2006,4.87,4.43,4.43,4.65,4.55
12/01/2006,4.87,4.43,4.43,4.64,4.54
11/30/2006,4.94,4.52,4.46,4.66,4.56
11/29/2006,4.98,4.58,4.52,4.72,4.61
11/28/2006,4.98,4.57,4.51,4.7,4.59
11/27/2006,5.0,4.6,4.54,4.73,4.62
11/24/2006,5.0,4.62,4.55,4.74,4.63
11/22/2006,5.01,4.63,4.57,4.76,4.65
11/21/2006,5.02,4.65,4.58,4.76,4.66
11/20/2006,5.02,4.66,4.6,4.78,4.68
11/17/2006,5.02,4.67,4.61,4.79,4.69
11/16/2006,5.06,4.75,4.66,4.84,4.74
11/15/2006,5.04,4.69,4.61,4.8,4.69
11/14/2006,5.01,4.63,4.57,4.76,4.66
11/13/2006,5.03,4.66,4.61,4.8,4.71
11/10/2006,5.01,4.63,4.59,4.78,4.69
11/09/2006,5.02,4.66,4.62,4.82,4.73
11/08/2006,5.02,4.65,4.64,4.82,4.73
11/07/2006,5.03,4.69,4.66,4.85,4.76
11/06/2006,5.06,4.74,4.71,4.89,4.79
11/03/2006,5.06,4.74,4.72,4.9,4.81
11/02/2006,4.97,4.6,4.6,4.8,4.72
11/01/2006,4.95,4.56,4.57,4.77,4.68
10/31/2006,4.99,4.62,4.61,4.81,4.72
10/30/2006,5.03,4.68,4.68,4.88,4.78
10/27/2006,5.02,4.68,4.68,4.88,4.8
10/26/2006,5.06,4.74,4.73,4.93,4.84
10/25/2006,5.08,4.79,4.78,4.98,4.89
10/24/2006,5.1,4.84,4.83,5.03,4.95
10/23/2006,5.09,4.84,4.83,5.03,4.95
10/20/2006,5.05,4.8,4.79,4.99,4.91
10/19/2006,5.05,4.79,4.79,4.99,4.91
10/18/2006,5.04,4.77,4.77,4.97,4.89
10/17/2006,5.04,4.77,4.78,4.99,4.91
10/16/2006,5.05,4.78,4.79,5.0,4.92
10/13/2006,5.05,4.79,4.81,5.02,4.94
10/12/2006,5.03,4.78,4.79,4.99,4.91
10/11/2006,5.02,4.78,4.78,4.99,4.91
10/10/2006,5.0,4.75,4.75,4.96,4.88
10/06/2006,4.94,4.67,4.7,4.92,4.84
10/05/2006,4.9,4.58,4.61,4.84,4.76
10/04/2006,4.87,4.53,4.57,4.79,4.72
10/03/2006,4.9,4.59,4.62,4.83,4.76
10/02/2006,4.9,4.59,4.62,4.83,4.76
09/29/2006,4.91,4.62,4.64,4.84,4.77
09/28/2006,4.9,4.6,4.63,4.84,4.76
09/27/2006,4.89,4.59,4.6,4.81,4.73
09/26/2006,4.91,4.59,4.59,4.79,4.71
09/25/2006,4.88,4.54,4.56,4.77,4.7
09/22/2006,4.9,4.58,4.6,4.82,4.74
09/21/2006,4.93,4.61,4.65,4.86,4.78
09/20/2006,5.0,4.73,4.73,4.93,4.85
09/19/2006,4.99,4.72,4.74,4.94,4.86
09/18/2006,5.04,4.8,4.81,5.01,4.93
09/15/2006,5.03,4.79,4.8,5.0,4.92
09/14/2006,5.02,4.77,4.79,4.99,4.92
09/13/2006,4.99,4.72,4.77,4.97,4.9
09/12/2006,5.02,4.74,4.78,4.98,4.91
09/11/2006,5.03,4.77,4.8,5.02,4.95
09/08/2006,5.0,4.73,4.78,4.99,4.92
09/07/2006,5.02,4.76,4.8,5.01,4.94
09/06/2006,5.02,4.76,4.8,5.02,4.95
09/05/2006,5.02,4.73,4.78,5.01,4.93
09/01/2006,4.99,4.7,4.73,4.95,4.87
08/31/2006,5.01,4.71,4.74,4.95,4.88
08/30/2006,5.03,4.76,4.76,4.98,4.91
08/29/2006,5.06,4.79,4.79,5.0,4.93
08/28/2006,5.08,4.8,4.8,5.01,4.94
08/25/2006,5.06,4.79,4.79,5.01,4.93
08/24/2006,5.07,4.8,4.81,5.02,4.94
08/23/2006,5.07,4.81,4.82,5.03,4.95
08/22/2006,5.07,4.79,4.82,5.03,4.95
08/21/2006,5.07,4.79,4.82,5.04,4.96
08/18/2006,5.08,4.82,4.84,5.05,4.97
08/17/2006,5.08,4.84,4.87,5.08,5.0
08/16/2006,5.06,4.83,4.87,5.08,5.0
08/15/2006,5.11,4.91,4.93,5.13,5.05
08/14/2006,5.17,4.98,5.0,5.21,5.12
08/11/2006,5.12,4.93,4.97,5.18,5.09
08/10/2006,5.08,4.89,4.93,5.15,5.06
08/09/2006,5.07,4.88,4.92,5.13,5.05
08/08/2006,5.08,4.86,4.93,5.11,5.02
08/07/2006,5.12,4.89,4.93,5.09,5.0
08/04/2006,5.07,4.86,4.91,5.09,5.0
08/03/2006,5.12,4.92,4.96,5.13,5.04
08/02/2006,5.11,4.9,4.96,5.14,5.05
08/01/2006,5.11,4.91,4.99,5.17,5.07
07/31/2006,5.11,4.93,4.99,5.17,5.07
07/28/2006,5.1,4.94,5.0,5.17,5.07
07/27/2006,5.16,5.01,5.07,5.22,5.11
07/26/2006,5.16,5.02,5.04,5.22,5.1
07/25/2006,5.21,5.05,5.07,5.24,5.13
07/24/2006,5.21,5.03,5.05,5.22,5.11
07/21/2006,5.19,5.02,5.05,5.21,5.1
07/20/2006,5.18,5.01,5.03,5.2,5.08
07/19/2006,5.22,5.06,5.06,5.22,5.1
07/18/2006,5.28,5.13,5.13,5.29,5.16
07/17/2006,5.24,5.07,5.07,5.23,5.1
07/14/2006,5.2,5.05,5.07,5.23,5.11
07/13/2006,5.22,5.07,5.08,5.23,5.12
07/12/2006,5.26,5.12,5.1,5.26,5.14
07/11/2006,5.26,5.11,5.1,5.26,5.14
07/10/2006,5.27,5.13,5.13,5.29,5.17
07/07/2006,5.25,5.13,5.14,5.29,5.18
07/06/2006,5.28,5.17,5.19,5.35,5.23
07/05/2006,5.29,5.21,5.23,5.39,5.27
07/03/2006,5.26,5.14,5.15,5.33,5.2
06/30/2006,5.21,5.13,5.15,5.31,5.19
06/29/2006,5.25,5.19,5.22,5.39,5.26
06/28/2006,5.3,5.26,5.25,5.42,5.28
06/27/2006,5.28,5.22,5.21,5.38,5.24
06/26/2006,5.3,5.25,5.25,5.42,5.28
06/23/2006,5.27,5.23,5.23,5.4,5.26
06/22/2006,5.24,5.21,5.2,5.37,5.23
06/21/2006,5.22,5.16,5.16,5.32,5.19
06/20/2006,5.23,5.16,5.15,5.33,5.19
06/19/2006,5.23,5.15,5.14,5.32,5.18
06/16/2006,5.18,5.13,5.13,5.31,5.17
06/15/2006,5.15,5.1,5.1,5.27,5.13
