Date,1 Yr,3 Yr,10 Yr,30 Yr
12/31/2014,0.25,1.1,2.17,2.75
12/30/2014,0.23,1.11,2.2,2.76
12/29/2014,0.25,1.14,2.22,2.78
12/26/2014,0.26,1.19,2.25,2.81
12/24/2014,0.26,1.18,2.27,2.83
12/23/2014,0.26,1.17,2.26,2.85
12/22/2014,0.28,1.13,2.17,2.75
12/19/2014,0.26,1.1,2.17,2.77
12/18/2014,0.25,1.1,2.22,2.82
12/17/2014,0.23,1.06,2.14,2.74
12/16/2014,0.21,0.99,2.07,2.69
12/15/2014,0.22,1.03,2.12,2.74
12/12/2014,0.19,0.98,2.1,2.75
12/11/2014,0.21,1.05,2.19,2.84
12/10/2014,0.21,1.01,2.18,2.83
12/09/2014,0.23,1.07,2.22,2.87
12/08/2014,0.18,1.1,2.26,2.9
12/05/2014,0.18,1.09,2.31,2.97
12/04/2014,0.14,0.97,2.25,2.94
12/03/2014,0.15,0.98,2.29,2.99
12/02/2014,0.14,0.96,2.28,3.0
12/01/2014,0.13,0.9,2.22,2.95
11/28/2014,0.13,0.88,2.18,2.89
11/26/2014,0.14,0.93,2.24,2.95
11/25/2014,0.14,0.94,2.27,2.97
11/24/2014,0.14,0.95,2.3,3.01
11/21/2014,0.14,0.96,2.31,3.02
11/20/2014,0.14,0.97,2.34,3.05
11/19/2014,0.15,0.99,2.36,3.08
11/18/2014,0.14,0.96,2.32,3.05
11/17/2014,0.15,0.96,2.34,3.06
11/14/2014,0.15,0.96,2.32,3.04
11/13/2014,0.15,0.97,2.35,3.08
11/12/2014,0.14,1.0,2.37,3.09
11/10/2014,0.13,1.0,2.38,3.09
11/07/2014,0.12,0.95,2.32,3.04
11/06/2014,0.12,1.01,2.39,3.09
11/05/2014,0.11,0.97,2.36,3.06
11/04/2014,0.11,0.97,2.35,3.05
11/03/2014,0.12,0.96,2.36,3.07
10/31/2014,0.11,0.95,2.35,3.07
10/30/2014,0.11,0.91,2.32,3.04
10/29/2014,0.11,0.93,2.34,3.06
10/28/2014,0.11,0.84,2.3,3.06
10/27/2014,0.11,0.81,2.27,3.04
10/24/2014,0.11,0.82,2.29,3.05
10/23/2014,0.11,0.83,2.29,3.05
10/22/2014,0.11,0.8,2.25,3.01
10/21/2014,0.1,0.77,2.23,3.0
10/20/2014,0.1,0.76,2.2,2.96
10/17/2014,0.11,0.79,2.22,2.98
10/16/2014,0.1,0.75,2.17,2.94
10/15/2014,0.1,0.73,2.15,2.92
10/14/2014,0.09,0.8,2.21,2.95
10/10/2014,0.1,0.89,2.31,3.03
10/09/2014,0.1,0.91,2.34,3.07
10/08/2014,0.1,0.9,2.35,3.07
10/07/2014,0.1,0.98,2.36,3.06
10/06/2014,0.11,1.02,2.43,3.12
10/03/2014,0.11,1.05,2.45,3.13
10/02/2014,0.1,1.01,2.44,3.15
10/01/2014,0.1,1.0,2.42,3.12
09/30/2014,0.13,1.07,2.52,3.21
09/29/2014,0.11,1.06,2.5,3.18
09/26/2014,0.11,1.08,2.54,3.22
09/25/2014,0.1,1.03,2.52,3.22
09/24/2014,0.11,1.08,2.57,3.28
09/23/2014,0.1,1.05,2.54,3.25
09/22/2014,0.1,1.06,2.57,3.28
09/19/2014,0.11,1.09,2.59,3.29
09/18/2014,0.12,1.1,2.63,3.36
09/17/2014,0.12,1.08,2.62,3.37
09/16/2014,0.13,1.04,2.6,3.36
09/15/2014,0.11,1.06,2.6,3.34
09/12/2014,0.11,1.07,2.62,3.35
09/11/2014,0.11,1.07,2.54,3.27
09/10/2014,0.11,1.07,2.54,3.26
09/09/2014,0.11,1.06,2.5,3.23
09/08/2014,0.1,1.02,2.48,3.23
09/05/2014,0.1,0.99,2.46,3.23
09/04/2014,0.1,1.01,2.45,3.21
09/03/2014,0.11,0.99,2.41,3.15
09/02/2014,0.1,0.99,2.42,3.17
08/29/2014,0.09,0.94,2.35,3.09
08/28/2014,0.11,0.95,2.34,3.08
08/27/2014,0.11,0.97,2.37,3.11
08/26/2014,0.12,0.98,2.39,3.15
08/25/2014,0.11,0.99,2.39,3.13
08/22/2014,0.1,0.98,2.4,3.16
08/21/2014,0.1,0.95,2.41,3.19
08/20/2014,0.12,0.94,2.43,3.22
08/19/2014,0.11,0.9,2.4,3.21
08/18/2014,0.1,0.89,2.39,3.2
08/15/2014,0.09,0.86,2.34,3.13
08/14/2014,0.1,0.87,2.4,3.2
08/13/2014,0.1,0.88,2.43,3.24
