Date,1 Yr,3 Yr,10 Yr,30 Yr
12/31/1996,5.51,6.04,6.43,6.65
12/30/1996,5.47,5.95,6.31,6.54
12/27/1996,5.47,5.93,6.3,6.54
12/26/1996,5.5,5.98,6.35,6.59
12/24/1996,5.51,5.98,6.36,6.59
12/23/1996,5.52,5.97,6.34,6.58
12/20/1996,5.49,5.95,6.35,6.59
12/19/1996,5.5,5.97,6.36,6.6
12/18/1996,5.55,6.04,6.46,6.69
12/17/1996,5.51,5.99,6.42,6.66
12/16/1996,5.49,5.95,6.39,6.63
12/13/1996,5.46,5.89,6.33,6.58
12/12/1996,5.49,5.98,6.4,6.64
12/11/1996,5.49,5.95,6.38,6.61
12/10/1996,5.43,5.83,6.23,6.49
12/09/1996,5.43,5.81,6.21,6.48
12/06/1996,5.45,5.84,6.26,6.53
12/05/1996,5.44,5.82,6.22,6.5
12/04/1996,5.41,5.75,6.11,6.4
12/03/1996,5.39,5.7,6.06,6.35
12/02/1996,5.4,5.72,6.08,6.36
11/29/1996,5.38,5.7,6.06,6.36
11/27/1996,5.41,5.77,6.14,6.44
11/26/1996,5.41,5.77,6.13,6.43
11/25/1996,5.43,5.77,6.13,6.42
11/22/1996,5.44,5.8,6.15,6.44
11/21/1996,5.43,5.78,6.15,6.42
11/20/1996,5.4,5.77,6.14,6.41
11/19/1996,5.4,5.78,6.17,6.44
11/18/1996,5.41,5.81,6.2,6.46
11/15/1996,5.4,5.79,6.19,6.46
11/14/1996,5.4,5.77,6.15,6.42
11/13/1996,5.42,5.84,6.2,6.46
11/12/1996,5.43,5.84,6.19,6.44
11/08/1996,5.45,5.88,6.29,6.51
11/07/1996,5.44,5.87,6.26,6.48
11/06/1996,5.44,5.9,6.3,6.61
11/05/1996,5.43,5.86,6.28,6.6
11/04/1996,5.46,5.92,6.36,6.67
11/01/1996,5.46,5.93,6.38,6.68
10/31/1996,5.44,5.92,6.37,6.66
10/30/1996,5.46,5.95,6.4,6.69
10/29/1996,5.46,5.94,6.4,6.7
10/28/1996,5.56,6.1,6.56,6.83
10/25/1996,5.55,6.07,6.54,6.82
10/24/1996,5.56,6.1,6.57,6.85
10/23/1996,5.56,6.11,6.56,6.84
10/22/1996,5.57,6.12,6.56,6.85
10/21/1996,5.55,6.07,6.52,6.81
10/18/1996,5.52,6.05,6.5,6.79
10/17/1996,5.52,6.06,6.51,6.81
10/16/1996,5.58,6.12,6.57,6.86
10/15/1996,5.58,6.1,6.56,6.85
10/11/1996,5.57,6.09,6.55,6.84
10/10/1996,5.66,6.17,6.61,6.89
10/09/1996,5.56,6.11,6.55,6.83
10/08/1996,5.53,6.06,6.53,6.79
10/07/1996,5.53,6.06,6.53,6.78
10/04/1996,5.47,6.0,6.48,6.74
10/03/1996,5.61,6.16,6.61,6.84
10/02/1996,5.61,6.15,6.61,6.84
10/01/1996,5.65,6.22,6.65,6.88
09/30/1996,5.71,6.28,6.72,6.93
09/27/1996,5.68,6.25,6.68,6.91
09/26/1996,5.65,6.22,6.66,6.88
09/25/1996,5.7,6.25,6.71,6.93
09/24/1996,5.73,6.32,6.77,6.99
09/23/1996,5.85,6.4,6.83,7.02
09/20/1996,5.85,6.43,6.85,7.04
09/19/1996,5.85,6.46,6.87,7.05
09/18/1996,5.84,6.43,6.83,7.02
09/17/1996,5.83,6.39,6.81,7.0
09/16/1996,5.74,6.31,6.73,6.95
09/13/1996,5.74,6.29,6.74,6.95
09/12/1996,5.9,6.44,6.88,7.08
09/11/1996,5.94,6.51,6.94,7.12
09/10/1996,5.93,6.52,6.94,7.13
09/09/1996,5.91,6.47,6.9,7.08
09/06/1996,5.92,6.52,6.94,7.12
09/05/1996,5.98,6.56,6.98,7.15
09/04/1996,5.97,6.56,6.94,7.1
09/03/1996,5.94,6.54,6.92,7.07
08/30/1996,5.91,6.54,6.96,7.13
08/29/1996,5.82,6.42,6.86,7.05
08/28/1996,5.77,6.36,6.79,6.99
08/27/1996,5.76,6.36,6.78,6.97
08/26/1996,5.77,6.37,6.8,7.0
08/23/1996,5.69,6.27,6.72,6.93
08/22/1996,5.62,6.18,6.62,6.84
08/21/1996,5.62,6.15,6.61,6.83
08/20/1996,5.62,6.14,6.59,6.8
08/19/1996,5.64,6.15,6.59,6.8
08/16/1996,5.61,6.13,6.56,6.77
08/15/1996,5.66,6.17,6.62,6.82
08/14/1996,5.61,6.14,6.58,6.78
08/13/1996,5.63,6.14,6.57,6.78
08/12/1996,5.58,6.08,6.49,6.7
08/09/1996,5.57,6.09,6.5,6.7
08/08/1996,5.62,6.14,6.56,6.76
08/07/1996,5.62,6.14,6.55,6.78
08/06/1996,5.61,6.13,6.54,6.76
08/05/1996,5.6,6.1,6.53,6.75
08/02/1996,5.6,6.09,6.51,6.74
08/01/1996,5.74,6.25,6.65,6.84
07/31/1996,5.85,6.39,6.8,6.98
07/30/1996,5.88,6.47,6.89,7.05
07/29/1996,5.93,6.5,6.93,7.09
07/26/1996,5.85,6.45,6.85,7.02
07/25/1996,5.85,6.46,6.87,7.04
07/24/1996,5.86,6.46,6.87,7.04
07/23/1996,5.85,6.42,6.8,6.97
07/22/1996,5.86,6.43,6.84,7.01
07/19/1996,5.81,6.35,6.78,6.97
07/18/1996,5.79,6.32,6.72,6.92
07/17/1996,5.79,6.43,6.83,7.02
07/16/1996,5.77,6.42,6.84,7.03
07/15/1996,5.86,6.5,6.89,7.07
07/12/1996,5.84,6.45,6.85,7.03
07/11/1996,5.85,6.47,6.9,7.07
07/10/1996,5.89,6.52,6.95,7.1
07/09/1996,5.95,6.61,7.0,7.15
07/08/1996,5.98,6.62,7.05,7.19
07/05/1996,5.97,6.62,7.06,7.19
07/03/1996,5.75,6.36,6.78,6.94
07/02/1996,5.8,6.4,6.8,6.94
07/01/1996,5.74,6.33,6.74,6.91
06/28/1996,5.7,6.3,6.73,6.9
06/27/1996,5.77,6.41,6.83,6.99
06/26/1996,5.83,6.49,6.91,7.05
06/25/1996,5.82,6.5,6.91,7.06
06/24/1996,5.83,6.52,6.94,7.09
06/21/1996,5.84,6.52,6.96,7.11
06/20/1996,5.87,6.55,6.98,7.12
06/19/1996,5.81,6.5,6.96,7.12
06/18/1996,5.78,6.48,6.93,7.09
06/17/1996,5.78,6.47,6.9,7.06
06/14/1996,5.8,6.49,6.95,7.1
